cantonese,english,beam
这个没有启示,It doesn't speak.,
若我觉得它不行，对谁也是不行,"And if it won't speak to me, it won't speak to anyone.",
一本杂志要像一个人,A magazine must be like a human being.,
若它进入家中就要有所贡献,If it comes into the home it must contribute.,
不能毫无建树的,It just can't lie around.,
一本杂志一定要有... 内涵和气派,A magazine must have... ..blood and brains and pizzazz.,
这只是纸张,This is just paper!,
寄纸张给美国女性会令她们失望,"If I send paper to the American woman, I will have let her down.",
毕小姐，不要这样说,"No, Miss Prescott, you mustn't say that.",
不错...,Yes.,
没落,D for down.,
沉闷,D for dreary.,
枯燥和令人沮丧 忧郁和无生气,"D for dull and for depressing, dismal and deadly!",
这就是了,Ahh! Here it is!,
这就是我们的主题，粉红色,Here is our theme. Here is our answer. Pink!,
把这个交给设计师,"Girls, girls, girls, girls. Listen, take this to all the designers.",
我要用这个粉红色做裙子,I want dresses made up in exactly this shade of pink.,
贝丝，拿这个给戴启成,"Babs, take this to Kaiser Delmont.",
我要皮鞋和丝袜都用这个颜色,I want shoes and stockings in exactly this colour.,
罗拉，所有东西都用粉红色,"Laura, everything goes pink!",
全本杂志和全国都要用粉红色,I want the whole issue pink. I want the whole country pink!,
"丽缇，写篇稿""致美国的女性""","Lettie, take an editorial. ""To the women of America...""",
"不，改做""致各地的女性""","No, make it ""To the women everywhere.""",
赶走黑色 烧掉蓝色 和埋藏米色,"Banish the black, burn the blue, and bury the beige.",
从此以后，小姐们...,"From now on, girls... ♫ Think pink!",
美琪？,Maggie?,
杜维治，我要找你,Dovitch! I want to see you.,
你们回去工作，男士们，行了,"Girls, back to work. Gentlemen, that will do!",
铁路局要把一列火车漆成粉红色 将它巡回展出,The Union Pacific railroad is going to paint a whole train pink and send it on a north west tour.,
TWA会通知我们可否有粉红飞机,TWA will let me know this afternoon if we can have a pink plane.,
两周来我所见的女人都穿粉红色,I haven't seen a woman in two weeks in anything but pink.,
你又怎样？,- What about you?,
我？,- Me?,
我不会落后,I wouldn't be caught dead!,
我要告诉你我下期的专题,"Dovitch, I can't wait to tell you about my feature for the next issue.",
这是我最新的计划，你会惊讶的,"It's my newest project. And when you hear it, you will drop!",
是什么？,- Now what?,
听着,- Just you listen.,
迪克已开始拍照了,Dick Avery started working on the pictures this morning.,
他比我们更兴奋,He's more excited about it than any of us.,
这个...,Here it is.,
给忽视服装的女性的服装,Clothes for the woman who isn't interested in clothes.,
玛莲，给我一个深沉的表情,"Marion, give me a long look.",
深沉一点,Longer.,
仕德，把后灯调低一点，好了,"Steve, eh, tip that back light down a bit, will you?",
停，贝多芬没效，试试布拉姆斯,"Hold it, boys. Beethoven isn't working. Try Brahms.",
玛莲，我想再来一次,"Ahm, look, Marion, I'd like to try it again.",
看这次可否成功,"This time, let's see if we can't get with it.",
记着你是个有思想的女人,Keep in mind that you're a woman who thinks.,
这是贝齐的雕刻作品,"Now, that is a piece of sculpture by Itsabuchi.",
用理解它的眼神看着它,Look at it as if you understand it. As if it understands you. See?,
那不是我们想着贝齐时的样子,"No Marion, I'm afraid that's not the way we look when we're thinking of Itsabuchi.",
对它作出反应...,React to it.,
说出来吧,Just... say it.,
贝齐？,"Itsabuchi, hmm?",
你不太明白，留心听着,"You haven't quite got it. Now, listen carefully.",
你身处现代艺术博物馆,"You are in the Museum of Modern Art, Marion.",
渊博、深奥的,"Deep, Marion. Profound, Marion.",
你看到这雕像，它令你有所感受,You have come across this statue.,
因为你有知识，经常思考,"And it says something to you because you are intellectual, always thinking.",
你在想什么？,What are you thinking?,
我在想已经拍了很久 我不能替夏洛拿衣服了,"I'm thinking this is taking a long time, and I'll never be able to pick up Harold's laundry.",
夏洛拿不到衣服时，会是大灾难,"When Harold doesn't get his laundry, disaster!",
这个做不好，你休想见夏洛，来,"If we don't get this fixed, you may never see Harold's laundry or Harold again. Let's go.",
有思想的女性要认真对待时装,The woman who thinks must come to grips with fashionable attire.,
女人可以美貌智慧俱备，看封面,"A woman can be beautiful, as well as intellectual. See facing page.",
封面是怎样了？,And how is the facing page?,
封面照拍得像蛇般精明,The facing page looks about as intellectual as a snake.,
胡说，玛莲可以很有深度的,Nonsense. Marion can be very deep.,
看，她在阅读,Look at her. She's reading.,
玛莲，你在看什么书？,"Marion, dear, what are you reading?",
火星来的小人,Minute Men From Mars!,
我们继续还是换人？,"Are we all gonna hang around, or get somebody else?",
彭露丝怎样？,- How about Lucy Brand?,
去了度蜜月,- On her honeymoon.,
夏贝蒂呢？,- Betty Hayes?,
她在坐监,- She's in jail.,
没有美貌与智慧俱备的模特儿了,Are there no models around who can think as well as they look?,
用别的背景，玛莲或会好一点,Marion might look better in a different background.,
我们可以去个有学术气息的地方,We can go on location. Some intellectual hang-out.,
有书籍的地方 书店,- Somewhere with books. - A book store!,
格林威治村一个阴森的地方，来,Of course! One of those sinister places in Greenwich Village.,
快点，还要在途中替夏洛取衣物,"Come on, girls! Let's hurry. We might have to stop and pick up Harold's laundry on the way.",
那里有一间,There's one.,
司机，停车,"Driver, stop here.",
那够阴森了,That's sinister enough.,
梅丽，帮我拿这盏灯，它很重,"Melissa, for heaven's sake, help me with this lamp! It's heavy.",
不行，我满手都是东西了,"I can't, Babs, I got my hands full.",
真阴暗，我们可以布置它就好了,It's movingly dismal. We couldn't have done better if we'd designed it ourselves.,
玛莲看来已经精明一点了,Marion looks smarter already.,
抱歉，我看不到你，你没事吧？,I'm sorry. I didn't see you up there. Are you alright?,
没事，有何效劳？,"Yes, thank you. Can I help you?",
你想买书吗？,Would you like a book?,
玛莲，过来 她们是谁？,"- Marion, over here. - Who are those?",
我可否替你效劳？,May I help you?,
谢谢，我们有所需的东西了,Thank you very much. I think we have everything we need.,
请告诉我这是什么一回事,Please tell me what all this is about.,
我们只想拍一些照片,We're just going to take a few pictures.,
什么照片？,Pictures? What sort of pictures?,
你是店主吗？,- Are you the owner?,
蒲博士才是,"- No, Dr Post is.",
我在此工作，她不在时由我管理,"I work here, and I'm in charge in her absence.",
我是施采，你可否帮我？,I'm Jo Stockton. Can you help me?,
你好，我是颜迪克,How do you do? I'm Dick Avery.,
要拍什么照片？,What about these pictures?,
我们想用这店子做背景 替优秀杂志拍时装照,"Well, we are using the shop as a background for some fashion pictures for Quality magazine.",
抱歉，不行，蒲博士不会同意的,I'm sorry. but I can't let you do this. Dr Post would never approve.,
她不认同时装杂志的,She doesn't approve of fashion magazines.,
它俗气而且是不实际的自我形象,It's chi-chi and an unrealistic approach to self-impressions as well as economics.,
麻烦，她是个思想家 又多嘴,- We're going to have trouble. She's a thinker. - She's also a talker!,
我得请你们离开,I must ask you to leave.,
我们求求你,We throw ourselves at your mercy.,
我们这样的可怜人没维生权利吗,Haven't poor helpless people like us a right to make a living?,
我请你们离开，这是我的权利,I have asked you to leave. That is my right.,
若个人权利... 不被群众尊重，群众就不能存在,"If the rights of the individual are not respected by the group, the group itself cannot exist for long.",
那是什么意思？,What does that mean?,
己所不欲，勿施于人,"""Do unto others as you would have others do unto you.""",
我们只会麻烦你一会儿 而且我们自己的麻烦更多,"We'll only do unto you for a moment, and it's no more than we would do unto ourselves.",
我要重新摆放这些书籍,"Girls, I want all these books rearranged.",
它们太相似和有系统，调乱一下,They look too much alike. They're too pat. Mix them up.,
你们不能把它们调乱,"No, you mustn't mix them up.",
这书架上的书是有关经验主义 这是唯物主义，这是心身平衡论,"The books on this shelf pertain to empiricism, and on this shelf, materialism, and on this, psychopiscoparalysm.",
请放回去，我要花几小时整理的,"Put them back. Oh, please talk to her. It'll take me hours.",
没人敢对毕美琪说话，只可聆听,One never talks to Maggie Prescott. One only listens.,
我们该放她在照片内，请过来,"Here. I think we ought to use her in the shot. Miss, come here, please.",
我？,- Me?,
你卖书给那个女孩,- You're selling a book to that girl.,
她？,Her?,
装假玛莲懂得看书吧,It's very simple. Just pretend that Marion can read.,
听着！,"Say, listen!",
玛莲，我们来吧,"Alright, Marion, let's go.",
但这有违我的原则,But this would be a violation of all my principles!,
这样做我会很虚伪的,It would be hypocrisy for me to lend myself to this sort of idealism.,
对不起，但是...,"- I'm sorry, but... - Shush.",
向玛莲介绍一下那些书籍吧,"Now, tell Marion about the books so that we can get out of here.",
这个写副现象论，涉及意识能力 作为生理过程的附属品 无论你在做什么...,"This book deals with epiphenomenalism, which has to do with consciousness as a mere accessory of physiological processes whose presence or absence makes no difference...",
它存在与否也没有分别？,Whatever are you doing?,
别动！,"Alright, hold it!",
好，给她更衣 戴上帽子,- Good. Get her in another outfit. - Put on the shebop.,
你们擅闯私人地方,None of you seems to realise you're trespassing on private property.,
你们乱冲乱撞，我可以告你们,"You run around, sublime ignorant of the fact that I can have you put in jail.",
最后一次 你很令人烦厌,- For the last time... - You're getting tiresome.,
你干什么？,What are you doing?,
放手,Let go. Let go of my arm!,
我知你没恶意，但你阻碍着大家,"I know you don't mean any harm child, but you are in everyone's way.",
我们很快便完工,"Now, we won't be a moment.",
让我进来,Let me in!,
新鲜空气对她有益，她很苍白,The air will do her good. She was very pale.,
好，预备,"Alright, hit it.",
别动，准备好没有？,Hold it. Ready?,
好，再来一张,"Good. One more, please.",
好，看着,Alright. Hit it.,
别动，准备？,Hold it. Ready?,
再来，最后一张,"Very good, Marion. One more, please. Last one.",
来吧,"Alright, here we go.",
看着,Hit it.,
别动，预备,Hold it. Ready.,
好，应该够了,"OK, that's it. That ought to do.",
完了没有？,- Quite through? - Thank you.,
你做得很好,You've been wonderful.,
我们会在杂志提及这店子,We'll mention the shop in the magazine.,
你休想！,Don't you dare!,
计程车,Taxi!,
天啊！,"Oh, no!",
你好,Hello there.,
我留下来帮你收拾一下,I stayed to help you put these things back.,
我不知道我们会弄得这样凌乱,"I'm sorry, I didn't realise we made such a mess.",
唯物主义放在哪个书架？,Which shelf for materialism?,
交给我好了,Just hand them to me.,
不,"Oh, no.",
你们该感到羞耻,You should be ashamed of yourself.,
我们通常不会那样擅闯进来的,"I'm sorry, we don't usually barge in that way.",
你很能干，却把时间浪费在... 拍摄穿着难看裙子的笨女人身上,I mean a man of your ability wasting his time photographing silly dresses on silly women.,
人们认为是美女身上美丽的裙子,Most people think they're beautiful dresses on beautiful women.,
顶多是人工化的美,"At most, a synthetic beauty.",
树林才是美丽,Trees are beautiful.,
为何你不拍摄树林？,Why don't you photograph trees?,
我以此维生，这跟供需有关,I do what I do for a living. It has to do with supply and demand.,
你会惊讶树木照片的需求很少,You'd be amazed how small the demand is for pictures of trees.,
我的工作舒适，待遇优厚 每年还可到巴黎一次,"My work is very pleasant, the pay is excellent, and I get a trip to Paris every year.",
我很羡慕你,I certainly envy you that.,
若我有钱，现在我也身处巴黎了,I'd be in Paris now if I could afford it.,
你会出席舞会,You'd have a ball.,
每晚参加派对、喝香槟 身处香水中，每小时都有新恋情,"You'd go to a party every night, drink nothing but champagne, swim in perfume, and a new love affair every hour on the hour.",
若我去巴黎就会去霍奕谋的讲座,"If I went to Paris, it would be to go to Emile Flostre's lectures.",
谁会去巴黎听讲座？,Who goes to Paris for lectures?,
霍教授是在世的最伟大的哲学家 也是感情移入论之父,"Professor Flostre is the greatest living philosopher, and father of empathicalism.",
什么是感情移入论？,Oh? What's empathicalism?,
是达致理解和平静的最佳方法,The most sensible approach to true understanding and peace of mind.,
听来不错，但它是什么？,"Sounds great, but what is it?",
以共鸣为依据,It's based on empathy.,
你明白共鸣的意思吧？,"Do you know what the word ""empathy"" means?",
不，我要上初学者课程才行了,"No, I'll have to have the beginner's course on that one.",
共鸣是否与同情相似？,Empathy. Is it something like sympathy?,
它比同情更深入,"Oh, it goes beyond sympathy.",
同情是了解别人的感受,Sympathy is to understand what someone feels.,
共鸣是突出你的想像力 让你实际感受到别人的感觉,Empathy is to project your imagination so that you actually feel what the other person is feeling.,
把自己置身于别人的位置,You put yourself in the other person's place.,
我说得清楚吗？,Do I make myself clear?,
为何你那样做？,- Why did you do that?,
共鸣,- Empathy.,
我设身处地，感到你想被吻,I put myself in your place and I felt that you wanted to be kissed.,
你置身于错误的位置了,I'm afraid you put yourself in the wrong place.,
我没有渴望被你或任何人亲吻,"I have no desire to be kissed by you, or anyone else.",
每人都想被吻，即使是哲学家,"Don't be silly. Everybody wants to be kissed, even philosophers.",
抱歉，我们没有你找的东西,"I'm sorry, Mr Avery, we don't stock what you're looking for.",
我送你出去,I'll let you out.,
不用了，我自己走吧,Don't bother. I'll throw myself out.,
再见,Goodbye.,
你认为怎样？,"Well, Dovitch, what do you think?",
出色的模特儿，你认为是什么？,They're all good models. What have you got in mind?,
了不起的意念,A fantastic idea.,
以前没有人想过真是出奇,It staggers me that nobody's thought of it before.,
我要选一个女孩做优秀女郎,I'm going to select a girl to be the Quality Woman.,
她会成为杂志的代表,This one girl will represent everything the magazine stands for.,
好噱头，任何模特儿也能胜任,"It's a great gimmick. Well, any of these models would be alright.",
她不单要胜任，还要有气派,She's got to be more than alright. She's got to have pizzazz.,
巴黎设计师会为她设计时装,An entire collection is going to be designed for her by the greatest couturier in Paris.,
杜保罗？,- Paul Duval?,
对，杜保罗,"- Yes, Paul Duval.",
他会在开幕前让我们进行拍摄,And he's going to let us photograph the collection before the opening.,
我们会压倒所有其他杂志,We'll scoop every other magazine!,
你吃惊吧？,"- Staggers you, doesn't it?",
我难以置信,- I can't believe it.,
他会被其他时装杂志杯葛的,"Why, he would be barred from Harper's Bazaar and Vogue, and all the other fashion magazines!",
胡说，计划若成功我们便是英雄,"Nonsense. If the project comes off, we'll all be heroes.",
先看看我有什么，是优秀女郎,Wait till you see what I've got. The girl. The Quality Woman.,
玛莲...,"Oh, Marion's...",
忘记她，这是我提过的那个女孩,Forget about Marion. This is the other girl I'm talking about.,
书店那个东西？,That thing from the book shop?,
美琪，她是新人,"Maggie, she's new.",
有新鲜感,She's fresh.,
你疯了,You've gone out of your mind.,
不能否认她很独特，她是谁？,"One can't deny that she is, ehm, unusual. Who is she?",
别问，想起也会打颤的可怕女孩,"Don't even ask. The thought of her makes me shudder. Dreadful, dreadful girl.",
若这是个玩笑...,If this is some sort of joke...,
我们替她改头换面，她会很美的,"It's no joke. If we do her over and fix her up, she'd be great for us.",
她只会折磨我们,She'd devour us all.,
别这样 看她,"- Come on, Maggie. - Well, look at her.",
我觉得她的面孔很滑稽,I think her face is perfectly funny.,
优秀女郎要大方高贵和有气派,"The Quality Woman must have grace, elegance and pizzazz.",
我第一次看到你缺乏想像力,This is the first time I've seen you lack imagination.,
优秀的女孩全都高贵、有气派,"Every girl in Quality has grace, elegance and pizzazz.",
找个秀外慧中的女孩又如何？,"What about a girl with character, spirit and intelligence?",
那会是时装杂志的创新,That certainly would be novel in a fashion magazine.,
我会请你喝酒,"Sir, I owe you a drink.",
可否给我放大一点？,Can you make me some black and white enlargements?,
好的 用你的黑房吧,- Yes. - Use our darkroom.,
让我考虑一下 你认真起来了,- Let me study the possibilities. - Now you are talking.,
我没有答应什么 你不用的,- I'm not promising anything. - You don't have to.,
他像老板般指指点点,Runs around here like he owns the magazine!,
丽缇，记得书店那个怪物吗？,"Lettie, remember that creature in the book shop?",
叫她来，订购一些书籍,Get her up here. Order some books.,
她没法拒绝的大订单 50元？,"- A large order, so she can't refuse. - $50 worth?",
好，就50元吧,"Yes, $50 worth if necessary.",
50元叫她来，去巴黎要把她迷倒,$50 to get her up here. We'll have to drug her to get her to Paris.,
麻烦找毕小姐,"Er, Miss Prescott, please.",
丽缇出来 我送她订购的书本,"- Lettie, you'd better come out here. - I've got the books she ordered.",
毕小姐的秘书会接见你,Miss Prescott's secretary will deal with you.,
是你，进来吧,"Oh, it's you. Well, come on in.",
来吧,Come on.,
那些书来了,The books are here.,
进来,Come in.,
52.75元，加1.2元车费,"That'll be $52 and 75 cents, and $1.20 for the taxi.",
共53.95元,$53.95.,
把那些书放下,Drop the books.,
来吧，把它们放下,"Come on, drop the books.",
放在地上？,"- On the floor? - Yes, drop them.",
立正，肩膊向后,"Straighten up, shoulders back.",
你们要知道姿势是很重要的,If you girls only knew how important posture is.,
我不是来参加军校的,"Look, I didn't come here to enroll in a military school.",
我只想要53.95元,All I want is $53.95.,
"那本""莫迪里阿尼""是12.5元 那本""博斯画册""是22.75元","The Modigliani is $12.50, and the Braque and Hieronymus Bosch come to $22.75.",
"那本""后印象派主义者""是7元 那两本书要10.5元 总共52.75元加1.2元车费","$7 for the post-impressionists and $10.50 for The Egyptians - Fourth to Seventh Dynasties make it a total of $52.75, and there's $1.20 for the taxi.",
不停嘴的 身型不错,- Talks incessantly. - The body's good.,
经我们改造一下会更好,It'll be better when we get through with it.,
改造什么？,- Through with what?,
或许她行的,- She might do.,
行什么？,Might do what?,
骨格很好,The bones are good.,
别理我的骨格，给我53.95元,Suppose we leave my bones alone and give me my $53.95?,
眉毛提起，扫淡色粉,"The eyebrows up, a light powder.",
这里要加点红色，她要一张樱唇,I want a little rouge here. She needs a marvelous mouth.,
发型很差，一定要剪掉,The hair is awful. It must come off.,
可否告诉我这是什么一回事？,Would you mind telling me what all this is about?,
我们工作吧，脱掉那可怕的东西,"We may as well get started. Babs, get that dreadful thing off of her.",
等一会,"Now, wait a minute. Just a minute!",
不要，停手,Don't! Stop!,
我最后一次见你们这班疯子,This is my second and last encounter with you lunatics.,
你们不要碰我,"You just keep your hands off me, all of you.",
我送书来却被粗暴对待,I come here to make a simple delivery and I find myself being pillaged and plundered.,
我受够了，我不要剪发,"Well, I'll have no more of it. I don't want my hair cut.",
我不管眉毛高低，我要原来样子,I don't want my eyebrows up or down. I want them where they are.,
一张樱唇也没有优越的功用,And I see no functional advantage in a marvelous mouth.,
我要走了，若果有人阻止我 被剪头发的不会是我,"I'm leaving now, and if anyone makes a move to stop me there'll be plenty of hair cut, and it won't be mine.",
抓她回来，要活捉,"Bring her back, girls, alive!",
快点,Hurry up.,
快点，这边,Hurry. Over here.,
你看不到门外那盏灯吗？,"Hey, didn't you see that light outside?",
走投无路时顾不了这么多,"In desperation, one does not examine one's avenue of escape.",
原来是你,"Oh, it's you.",
若我损毁了底片，很抱歉,I'm sorry if I spoiled a print.,
不要紧，你为何会走投无路？,That's alright. What's all the desperation about?,
那些人,Those people.,
她们不顾人家的感受,They don't care about anyone's feelings.,
拉扯我的衣服，又剪我的头发,Pulling my clothes and cutting my hair.,
那个女孩在里面吗？,- - Is that girl in there?,
不要出卖我,Please don't give me away!,
或许你该给她们一个机会,Maybe you should give them a chance...,
我进来时没有人在这里,There was no one here when I came in.,
若你看到她，别让她走,"If you see her, hang on to her.",
好的,I'll do that.,
是我错，我认为你可以当模特儿,I'm afraid it's all my fault. I thought you'd make a good model.,
是你的主意？,This is your idea?,
对，你要告的人是我？,"Yeah, I'm the one you sue.",
我怎可以当模特儿？,"Oh, how could I be a model?",
我对外表没有幻想，我样子滑稽,I have no illusions about my looks. I think my face is funny.,
美琪也是那样说,That's what Maggie said.,
但她没有说错,"I hate to admit it, but she's right.",
你说滑稽，我说是有趣,"What you call funny, I call interesting.",
这想法太荒谬了,It's too ridiculous even to think about.,
我不能做的 让我作评判吧,- I couldn't do it. - Let me be the judge of that.,
若你不适合我也不会带你去巴黎,I wouldn't take you to Paris if I didn't think you'd work out.,
巴黎？,- Paris?,
是的，这样看吧...,- Yeah. Look at it this way.,
当模特儿也不是你想像般坏,Modeling may not be as bad as you think.,
你可以去巴黎见你的方教授,"If it is, you'll be in Paris. You can see your friend Professor Whosis.",
霍？,- Flostre? - Yeah.,
你可以跟他交谈和去他的讲座,You can talk to him and go to his lectures.,
那不算是个损失,That way it won't be a total loss.,
一个结束的途径,A means to an end.,
或是个开始，视乎进展如何,"Or a means to a beginning, according to how it works out.",
看一下,"Now, let's see.",
这个,There we are.,
不 有什么问题？,"- Oh, no. - What's the matter?",
你怎么用那个来塑造一个模特儿,How can you possibly make a model out of that?,
你不是认真的吧,You can't be serious.,
我完成后你就会像...,"When I'm done, you'll look like...",
你认为树木美丽？,What do you call beautiful?,
你会像一棵树,A tree. You'll look like a tree.,
请观赏我们的优秀女郎,"Ladies, feast your eyes on our Quality Woman.",
很漂亮！,Marvelous!,
抱歉我引起的麻烦，我不晓得,I'm sorry about the trouble. I didn't realise.,
由我道歉才对，我的态度恶劣,"My dear, let me do the apologizing. I behaved abominably.",
她会去巴黎，她迫不及待了,She's agreed to go to Paris. She can hardly wait.,
好极了！,Marvelous!,
这不是有失尊严，是结束的途径,"This is not a loss of integrity. It is a means to an end, and...",
没时间说了，在机上告诉我们吧,There's no time for talking. Tell us on the plane.,
大家快工作，要去巴黎了,"Alright, girls, we've got to get cracking.",
想游巴黎吗？,- Would you like to take a guided tour of Paris?,
我们不是游客,"- No no no, we're not tourists.",
我们像整天打呵欠的人吗？,Do we look like those people who run around gaping all day?,
他们不了解来这里工作的人,I guess they can't understand anyone coming to Paris to work.,
我们该马上回酒店休息,We should all go straight to our hotels and get some rest.,
我累透了 我感受得到,- I am exhausted. - I know how you feel.,
"我累得连说""我很累""都不行",I'm so tired it's an effort for me to say I'm tired.,
再见，我会联络你们,Goodbye.,
你好,Bonjour!,
怎么样？,"Well, how was that?",
杜，我听不到，我在用法文思考,"Duval! I can't hear myself think, and I'm trying to think in French.",
美琪 我又在打电话,- Maggie! - Ssh! I'm calling again.,
我不该替你设计新系列,I shouldn't design a collection for you.,
我快被著名时装杂志杯葛了 全为了一个没有出现的女孩,"I am jeopardizing my position with Harper's Bazaar and Vogue, all for a girl who does not appear.",
你不会被杯葛，放松点，她会来,You're too important for jeopardy. Relax. She will be here without fail.,
你说她十点钟来，现在五点半了,You said she would be here at ten this morning. It is now past five.,
她不在酒店 忘记她好了,- She's not at the hotel. - Forget about her.,
我们开始了宣传，没时间换人了,We've started the campaign. There isn't time to get someone else.,
她在哪里？,"Well, where is she?",
可能在铁塔顶或是塞纳河底,"Maybe at the top of the Eiffel Tower, or the bottom of the Seine.",
可能交通阻塞，我怎么知道？,Maybe she's in a traffic jam. How should I know?,
我会举行盛会替优秀女郎命名的,I'm throwing a shindig to christen the Quality Woman.,
让迪克在巴黎找场地吧,Leave it to Dick to find a delicatessen in Paris.,
从加州内珀村进口的,"Imported all the way from Napa Valley, california.",
佛罗里达出产的瓜,Melons from Florida.,
那位特别嘉宾在哪里？,About the guest of honour. Where is she?,
她怎样？,How does she look?,
如果她在就是隐形了,"If she's here, she looks invisible.",
她没有出现？,- She didn't show?,
没有,- She did not.,
这几位先生等着替她装扮,"These gentlemen are waiting to do her face, her hair.",
杜要量尺寸，她在哪里？,Duval needs measurements. Where is she?,
我有个主意,"I wouldn't like to swear in court, but I have a pretty good idea.",
别说出来,Do keep it to yourself!,
