cantonese,english,greedy,beam
如果你借廿蚊俾人，之後就再見唔到佢，咁嗰廿蚊應該係值得俾嘅。,"If you lend someone $20 and never see that person again, it was probably worth it.","If you borrow twenty mosquitoes, then you will see again, and twenty-two moschitoe should be worth boring.","If you are borrowing twenty mosquitoes, then you will see them again, and twenty-seven Mosquitos should be worth a bite."
屌，邊條仆街半夜三更打俾我呀？！,"Holy crap, who's the asshole who dares call me in the middle of the night?!",I'm in the corner of the street at 3:00 p.m. in a corner shop.,I've been hitting in the middle of the night on the corner maid's street for three o'clock at night!
你仲喺度諗緊生命嘅意義呀？,You are still asking yourself what the meaning of life is?,What is the meaning of your life?,What is the meaning of your life?
睇吓個用戶名同密碼有無填錯。,Check that your username and password are written correctly.,  Wu Xian user name and password are not filled correctly.,The username and password of each user are not filled in correctly.
唔好唔記得我哋呀！,Don't forget about us!,I remembered it!,I don't remember me!
西班牙俾貼士要俾幾多到㗎？,How much do you leave for a tip in Spain?,How much do Spanish Bispatches want to get here?,How much does the Spanish Bispatch want from you?
我哋唔迫自己開心嘅話，應該都會幾開心吖。,If only we'd stop trying to be happy we could have a pretty good time.,I'm sure I can't help but say that I should be happy.,"I'll tell you how I was happy, I should be happy too."
人類可以穿越時空，速度仲好快添，每秒一秒。,We can travel through time. And we do at the remarkable rate of one second per second.,Humans can travel through space at a fast speed of one second per second.,Humans can travel through space at the speed of one second per second.
如果我哋知道自己做緊啲咩，咁就唔叫做研究啦，係咪先？,"If we knew what we were doing, it wouldn't be called research, would it?","If I know I'm doing something right now, I don't call it research, do I, mommy?","If I know what I'm doing right now, it's called research, isn't it?"
放低手！,Put your hands down!,Let go!,Put your hands down!
唔重要㗎！,It's not important.,I'm not important.,You're important!
我一路期待緊㗎喇！,I was expecting it!,I'm all looking forward to it!,I've been waiting my whole life!
唔好唔記得張飛。,Don't forget the ticket.,I remembered the song when I was a boy.,I'm not sure if I remembered that.
你好靚呀。,How beautiful you are!,I'm very happy.,I'm very happy.
我唔知我有無時間搞呢件事。,I don't know if I'll have time to do it.,I know I have no time to get into things.,I don't know if I have time to do something.
你咁樣衰，整容都冇用㗎喇。,Even plastic surgery won't do anything for your ugliness.,"You are a man of the age of old, and you are all of a kind.","You're getting old, and you've got to take care of yourself."
你面試面成點呀？,How did your interview go?,You're a big part of your interview?,What's the point of your interview?
你見工見成點呀？,How did your interview go?,You see the workman and see his point?,You look at the work and see the point?
我以為自己睇錯。,I can't believe my eyes.,I think I'm wrong.,I thought I was wrong.
你唔攰呀？,Are you not tired?,You're not feeling well?,You're sorry?
你哋唔攰呀？,Are you not tired?,You're missing?,What did you say?
你唔知佢兩年前瓜咗老襯咩？,Didn't you know that he passed away two years ago?,You know I was old two years ago?,You know I was old two years ago?
你支持定係反對戰爭呀？,Are you for the war or against it?,You supported the war against war.,You supported the war against war.
如果你勤力啲學習，係有希望通過考試嘅。,"If you study earnestly, you can expect to pass the exam.","If you are willing to learn, you will want to pass the exams.","If you work hard to learn, you will want to pass the exams."
你係時候買返架新車喇喎。,It's time for you to buy a new car.,You're buying a new car and replacing it.,You're buying a new car and replacing it.
你應該學吓控制自己嘅情緒。,You should learn to restrain yourself.,You should learn to control your emotions.,You should learn to control your emotions.
你自己做過嘅嘢，就要自己負返責任。,You should be responsible for your actions.,"You have done this yourself, and you have to take responsibility for it yourself.","You are responsible for what you did yourself, and you must take responsibility for it yourself."
你終於成功搵到工喇！,You finally succeeded in getting a job.,You finally made it to the mountain!,You finally made it to Sri Lanka!
你自己嘅錢，鍾意點使咪點使囉。,You are free to do as you please with your money.,"You're a rich man, you'll have to pay for your money.","You are your own money, you are my money."
你抄書嗰陣抄漏咗一隻字喎。,You've left out a word in copying the textbook.,You've been reading a book and you're missing a word.,You're reading a book and you've missed a single word.
望咩呀望？,What are you looking at?,I was looking?,I was looking?
你望咩啫？,What are you looking at?,What do you mean?,What do you mean?
你應該努力啲讀書。,You should study harder.,You should try hard to study.,You should work hard to study.
你而家係大人嚟㗎喇，唔好再好似成個細路咁喇。,"Now that you are grown up, you must not behave like a child.","You are the family's father and mother, and you are a man of the same family, so you should be like a small road.","You and your family's grandparents are in love with each other, and we'd like to make it look like a small street."
你仲未洗手喎，係唔係呀？,"You haven't washed your hands yet, have you?","You're not supposed to wash your hands, are you?","You're not supposed to wash your hands, are you?"
你點解想買呢本書呀？,Why do you want to buy this book?,You think you can buy this book?,What do you think of buying this book?
你要筆錢嚟做咩呀？,What do you need the money for?,"""You're going to write money, aren't you?""",Do you want to write money?
你一定要諗清楚你想做啲點嘅工。,You must consider what kind of work you want to do.,You must be very clear about what you want to do.,You must be very clear about what you want to do.
你好似好攰咁喎。,You look very tired.,I'm like a good girl.,I think I'm doing a good job.
你點識佢㗎？,How did you come to know her?,You know what I'm doing?,Did you know this?
你做咩講埋啲噉嘅嘢呀？,Why did you say such a thing?,You're a big-ass writer?,You're the one who's buried all this stuff?
你俾咗邊個呀？,Who did you give it to?,You're a bit of a man?,Are you alone?
你成日都做錯嘢。,You're forever making mistakes.,You're always doing things wrong.,You've been fooling all day long.
你後日一定要做完呢份功課。,You must get this homework finished by the day after tomorrow.,You must finish your work later on.,You'll have to finish your work later on.
你識唔識讀呢個漢字呀？,Can you read this kanji?,You know how to read Chinese characters?,You know how to read Chinese characters?
你喺呢度簽個名就得㗎喇。,You have only to sign your name here.,You can't get a name without signing it.,"If you want to sign your name, you have to do it."
你喺度簽個名就得㗎喇。,All you have to do is sign your name here.,You can't get a name without signing it.,"If you want to sign your name, you have to do it."
你通常幾點起身㗎？,What time do you usually get up?,How often do you get up?,How often do you get up?
如果你諗住去美國嘅話，你最好練好你啲英文先。,You better brush up your English if you go to America.,"If you are living in the United States, you should improve your English language.","If you live in the United States and speak American language, you should improve your English proficiency."
你要食早餐啊。,You need to have breakfast.,You're gonna eat breakfast.,You're gonna eat breakfast.
你啲頭髮長得濟。,Your hair is too long.,Your hair is long and long.,Your hair is very long.
你啲頭髮都好唔整齊噃。,Your hair really does look untidy.,Your hair is all well and good.,Your hair is all well and good.
你方便嘅時候嚟見我吖。,Come and see me when it is convenient for you.,You can see me when you're ready.,You'll see me when you're ready.
我唔記得咗你個電話號碼。,I forget your phone number.,I don't remember your phone number.,I don't remember your phone number.
我唔記得咗你個電話號碼。,I forget your telephone number.,I don't remember your phone number.,I don't remember your phone number.
你生日就到啦噃。,Your birthday is drawing near.,Your birthday is coming up.,It's your birthday now.
你隻錶準唔準㗎？,Is your watch correct?,Your watch is missing?,Did your watch fail?
你隻錶慢咗十分鐘。,Your watch is ten minutes slow.,Your watch is 10 minutes long.,Your watch lasts ten minutes.
你啲文章寫得好好，但係有好多字串錯咗。,Your composition was good except for the spelling.,"You've written a good article, but I have a lot of wrong strings.","You're good at writing your essays, but you've got a lot of wrong strings."
你間學校喺邊呀？,Where is your school?,Your school is on the side?,Is your school here?
如果唔係有你幫手，我生意一定唔會咁成功。,"If it had not been for your aid, I would not have succeeded in my business.","If I have your help, my business will be successful.","If I had your help, my business would surely be successful."
你啲英文進步咗好多。,Your English has improved a lot.,Your English progress has been great.,Your English progress has been great.
你唔好嬲我啦，我咁做都係為咗你㗎咋。,"Don't be angry with me, for I did it for your sake.","You're so mad at me, I'm doing everything to make you mad.","You're so mad at me, I'm gonna do everything to get you out of here."
你一流嘅工作令我感到慚愧。,Your excellent work puts me to shame.,Your first-class job makes me feel ashamed.,Your first-class work makes me feel ashamed.
你件恤衫粒鈕就嚟甩喇。,Your shirt button is coming off.,You'll be in a sweater and you're going to be out of here.,Your shirt's on the bottom and you're out of here.
你嗰班有幾多人㗎？,How many are there in your class?,How many of you have been there?,How many people do you have?
我唔小心拎錯咗你把遮。,I took your umbrella by mistake.,I'm not sure you're going to be able to get your cover.,I'll take care of it if you block it.
感激不盡。,I can't thank you enough.,I am grateful for all.,Thank you very much.
真係唔知點多謝你好。,I can't thank you enough.,I'm sorry to hear of you.,I don't know how to say hello.
我借呢本書畀你啊。,I'll lend you this book.,I borrowed this book from you.,I borrowed this book from you.
你實掂嘅！加油呀！我會支持你！,You can make it! Go for it. I'll stand by you.,You are the one! Come on! I will support you!,You know what you are! Come on! I will support you!
佢同你一樣，打哥爾夫球都好勁。,"He, just like you, is a good golfer.","I'm like you, I play golf well.","Like you, I'm good at golfing."
我唔鍾意你哋兩個去埋啲噉嘅地方。,I don't like both of you going to such a place.,I'm thinking you two will go and dig this place.,I thought you two would go and bury your place.
你話咗俾我聽之後，我先知呢份文件有幾咁緊要。,I hadn't recognized the importance of this document until you told me about it.,"You said that after I heard you, I knew that the file had some important details.","After you've spoken to me, I know that the document has a number of strings."
你粒聲唔出，啫係唔滿意我嘅答案啦。,I take it from your silence that you are not satisfied with my answer.,"You're not happy with my answer. I'm not satisfied with your answer, I think.","Your voice is out, and I am not satisfied with my answer."
一係你錯，一係佢錯。,Either you or he is wrong.,"You're wrong, you've been wrong.","You're wrong, and I'm wrong."
你諗住買嗰架車幾多錢㗎？,How much is the car you are planning to buy?,How much money did you have to buy a car?,How much money did you have to buy a car?
你成唔成功，就要睇吓你努唔努力喇。,Whether you will succeed or not depends on your efforts.,"If you succeed, I will scare you to work hard.","If you're successful, I'll scare you to work hard."
因為你唔夠努力，所以先會失敗。,The reason why you failed is you did not try hard enough.,"Because you have to work hard, you will fail first.","Because you are too hard, you will fail first."
你應該自己同老師講。,You should talk to the teacher yourself.,You should speak to your teacher yourself.,You should talk to your teacher yourself.
無咩嘢好味得過你整啲嘢食。,Nothing is so tasty as the dish you make.,I've had a good taste of all your meals.,I've had a good taste of all your meals.
你啱啱先食完晚餐，無理由咁快就肚餓嗰喎。,You can't be hungry. You've just had dinner.,"You are going to eat your dinner before you finish, and there is no reason why you should be hungry.","You're going to have to finish your dinner before you eat, and there's no reason why you should be hungry."
我尋晚留喺屋企等聽你電話。,I stayed home last night to be able to receive your call.,I'm gonna stay in my house late to hear your phone.,I'm gonna stay in my house till I hear your phone call.
計吓你用咗幾多錢買書。,Try to estimate how much you spent on books.,I'll give you a lot of money to buy a book.,I'll give you a lot of money to buy a book.
你信又好，唔信又好，對我嚟講無咩分別。,It makes little difference to me whether you believe it or not.,"You're good, you've been good. I'm good and I have no difference.","You're right, I'm wrong, and I don't know what to do."
你一定會後悔㗎。,The time will come when you will be sorry for it.,You will regret it.,You will regret it.
我好掛住你。,I miss you very much.,I'm gonna hold you.,I'm gonna hold you.
呢封信係俾你㗎。,Here is a letter for you.,I'll send you a letter.,I'll send you a letter.
你唔明。,You don't understand.,You're not.,You'll be fine.
麻煩你入屋之前除咗對鞋先吖。,Please remove your shoes before entering the house.,"You can get rid of the trouble before you enter the house, but you can also get a pair of shoes before.","Before you get into the house, you have to take care of your shoes before you go in."
佢啱啱先食完晏，無理由會肚餓。,He cannot be hungry; he has just had lunch.,"I'm going to eat my food before I eat, and I will be hungry without any reason.","I'm going to eat my first meal, and without any reason I will be hungry."
唔該你話我聽機場點去吖。,Please tell me how to get to the airport.,I'm going to take you to the airport.,"I don't know what you're talking about, but I'm going to the airport."
無咗空氣同水，人類就生存唔到。,Both air and water are indispensable for life.,"The air and water are the same, and the human beings are not.","With water and air, mankind survives."
月球表面冇空氣，所以冇風，亦都冇聲音。,Without air there can be no wind or sound on the moon.,"The Moon is the surface of the Moon, and the air, so the wind, also sound.","On the surface of the Moon there is air, thus wind, and also sounds."
空肚飲酒對身體唔好㗎。,Drinking on an empty stomach is bad for your health.,The drinking of alcohol is good for the body.,Drinking alcohol is good for the body.
有錢人未必比窮人幸福。,The rich are not always happier than the poor.,The rich are not necessarily as happy as the poor.,A rich man is not necessarily as happy as a poor man.
嗰啲錢收埋咗喺地板下面。,The money was hidden beneath the floorboards.,I'm gonna put my money under the floor.,All the money was buried under the floor.
我冇錢，但係我有夢想。,"I have no money, but I have dreams.","I have a dream, but I don't have money.","I don't have money, but I have a dream."
睇嚟好似冇晒錢囉喎。,It seems like there's no money left.,It is similar to the moon's tail.,It is similar to the Sunken Moon.
而家啲細路唔會通山跑㗎喇。,Nowadays children do not play outdoors.,The road is not very long and it is difficult to walk on the mountain.,I can't go to the mountains on the shortest of the roads.
雖然我同佢住得好近，但係都好少見到佢。,"Although her house is nearby, I seldom see her.","Although I live close to him, I never see him.","Although I live very close to each other, I rarely see them."
呢頭有無戲院㗎？,Are there any movie theaters near here?,I have no theatre or theatres.,"I've got no theatre, no cinema?"
緊急聯絡電話幾多號呀？,What is the emergency telephone number?,What's the emergency telephone number?,What's your emergency telephone number?
我想坐非吸煙區。,I would like to sit in the non-smoking section.,I want to sit in a non-smoking area.,I want to sit in a non-smoking area.
我一路切洋葱，啲眼淚就一路滮出嚟。,Tears came into my eyes when I was chopping onions.,"I cut the onions all the way, and I'm going to go all over the place.","I cut the onions all the way, and the eyes of my tears were all over me."
個班房裏面剩返好少學生。,There were few students remaining in the classroom.,The back of the single room was left by a small student.,The back of the single room was left by a few students.
啲老師想俾啲動力班學生。,The teachers are trying to motivate their students.,The teacher thought of the students of power class.,The teacher thought he was a motor school student.
唔好驚！,Don't be afraid.,I was surprised!,I'm surprised!
啲警察根據現場留低嘅證物搵到個賊仔。,The burglar was traced by one of the things he had left on the scene.,The police have been able to find evidence of the crime scene and the robbers.,The police are based on evidence from the scene of the crime to the robber's boss.
我條喉俾魚骨骾親咗。,I got a fish bone stuck in my throat.,"I'm a fisherman, I have a tail.",My throat is like a fish's bones.
佢舊年開始喺嗰間公司度返工。,He began to work for that company last year.,The company has been re-established since the beginning of the old year.,The old year began with the company returning to work.
我買咗兩枝牛奶。,I bought two bottles of milk.,I bought two milks.,I bought two milks.
牛食草。,Cattle feed on grass.,Their cows are eaten by cattle.,Cow-feeding grass.
我一收到錢就即刻還錢俾你。,As soon as I get paid I will pay you back.,I'll give you money as soon as I get it.,"As soon as I get my money, I'll give it to you."
個侍應拎咗個新碟俾我哋。,The waiter brought a new plate.,I'm going to have a new dinner with you.,I'm going to have a new dish to eat.
我真係唔知笑好定喊好。,I don't know whether to cry or to laugh.,I'm really glad I can say I am.,I'm sure I know how to laugh and cry.
我趕時間嗰陣唔會喺呢到過馬路。,I avoid crossing the street here if I am in a hurry.,I'm going to be on the road and I will be going on a road.,I'm going to go to the road by the time I arrive.
快手啲啦，我哋無乜時間淨㗎喇。,Hurry up. We've little time to waste.,"I'm not a timeless person, I have no time to be pure.",I'm not going to have time to do this.
快啲啦，如果唔係我哋就遲到㗎喇。,"Hurry up, or we'll be late.",I'm not sure if I can't get to the top of my game.,"It's a long time ago, and if I'm not sure, I will be late to see you."
放假玩得開唔開心呀？,Did you enjoy your holiday?,I'm happy to have a holiday.,Have you enjoyed your holidays?
我可唔可以抖陣呀？,May I take a rest?,I can't shake it?,I can't shake it?
你放假諗住去邊度玩呀？,Where are you going to go on your vacation?,You're going to go and play on the holidays?,You're going to go out on holiday and play?
座山上面有一間屋。,There is a house on the hill.,There is a house on the top of the mountain.,There is a house on the top of the mountain.
虽然有逆境，建筑师仲系赢取咗享誉全球嘅荣誉。,"Despite adversity, the architect achieved worldwide fame.","Although there are some difficulties, the architects' cooperation wins the honor of global honor.","In spite of adverse circumstances, the architects' cooperation wins honorary global honors."
虽然有逆境，建筑师仲系赢取咗享誉全球嘅名誉。,"Despite adversity, the architect achieved worldwide fame.","Although there are some difficulties, the architects' cooperation wins the honor of global fame.","In spite of the difficulties, the architects' cooperation wins the honor of global fame."
你應該要準備間房畀訪客。,You should prepare a room for the visitor.,You should prepare the room for visitors.,You should prepare your room for visitors.
食煙有害健康。,Smoking is harmful to health.,Smoking is harmful to health.,Smoking is harmful to health.
食煙對健康唔好。,Smoking is harmful to health.,Smoking is good for health.,Smoking is good for your health.
你係醫生。,You are a doctor.,You're a doctor.,You're a doctor.
啲規則一定唔可以多，同埋更加重要嘅係一定要簡單。,"The rules must be few, and more importantly, simple.","The rules must be more than enough, and the more important the burial, the simpler the matter must become.","The rule is that there must be a lot of rules, and that the burial is more important than it is simple."
我唔慣呢度啲天氣，太唔同喇。,I can't get over how different the weather is here.,"I'm not sure what weather I will be in, but I am sure I shall be.","I'd like to know what the weather is like, I don't know."
睇住呀！嗰到有個大窿㗎。,Watch out! There's a big hole there.,I'm going to go to a big hole.,I'm going to go to a big hole.
算吧啦。,Forget it.,I'll do it.,Let's do it.
我返屋企嗰陣撞到佢。,I met him on my way home.,I'm back in my house and I hit my head.,I went back to my house and I hit it.
我咁夜先返真係對唔住呀。,I'm very sorry I came home so late.,I'll be back in the morning and I will be staying with the immigration officer.,I had to stay with the returning officer for the night before.
你返屋企嗰陣順便嚟探吓我吖。,Please drop in at my house on your way home.,You're back in your house and you've been trying to get me to know you.,You're going back to your house and you'll be looking for me and scaring me.
張枱下面有粒蘋果。,There is an apple under the desk.,There are apples under the tree.,There are apples under the tree.
我開心到彈咗起身。,I jumped for joy.,I was happy to be able to get up and start.,I'm very happy to be able to get up.
韓國菜一般都好辣。,Korean food is generally very spicy.,The Korean cuisine is generally very hot.,South Korean cuisine is generally very hot.
韓國菜出名辣。,Korean food is noted for its spicy flavor.,South Korean cuisine is known for its spicy.,South Korean cuisine is famous for its spicy.
佢哋好快就拉埋天窗喇。,It won't be long before they get married.,I'm going to get the window in the house.,I'm going to have to go to the window.
個罐係吉嘅。,The can is empty.,Their single-seat carriers are the same.,A single canister is a good one.
如果啲乾草著咗火就大劑喇。,"If the hay caught fire, it would be a real disaster.","If the plant is burned, the fire will be great.","If the plant is burned, the fire will be greatly extinguished."
唔好踩落啲碎玻璃度。,Don't step on the broken glass.,I'm not sure I can get to the glass level.,I'd like to climb the crushed glass level.
玩得開心啲喇！,Enjoy yourself!,I'm happy to be here!,I'm so happy!
你玩得開唔開心呀？,Did you enjoy yourself?,You're really happy?,You're having a good time?
佢讀書叻過晒佢啲朋友。,"In terms of learning, he is superior to all of his friends.",I have been studying and I've been seeing my friends.,I've had a lot of fun with my friends.
我讀書嗰陣成日參加英文演講比賽。,I would often take part in an English speech contest in my school days.,I was studying and I will be attending English speech contest tomorrow.,I have been studying for a long time to participate in English speaking competition.
你讀邊間學校㗎？,Where do you go to school?,You went to a boarding school?,You went to a boarding school?
幾時放學呀？,When is school over?,When do you go to school?,When do you go to school?
學校會提供帳篷俾我哋。,The school will provide tents for us.,The school will provide a tent for the children.,The school will provide a shelter for our children.
我好肯定係邊度見過佢，但係又唔認得佢。,"I am sure I met him somewhere, but I do not remember who he is.","I'm sure I saw it in the front, but I didn't know it.","I'm sure I have seen it before, but I can't believe it."
唔同國家有唔同習俗。,Each country has its own customs.,Their common culture is the same as that of the other countries.,We have common customs in our countries.
我哋去市區食飯，跟住再睇返場戲吖。,Let's have lunch downtown and take in a show.,"I'm going to eat food in the city, stay and go back to the movie.","I'm going to the city to eat food, stay and go back to play."
我冇乜心情出街。,I don't feel like going out.,I'm going to go out to town.,I'm going out of town.
梳好你啲頭髮先好出門口呀。,Comb your hair before you go out.,I'll make you hair before I go out the door.,Let your hair come out of the door before you comb it.
出去之前記住熄晒啲燈佢喎。,Make sure to turn off all the lights before going out.,"Before leaving, write the lights that are out of the room.","Before going out, write off the lights."
你出國睇吓，先會知道日本係幾咁細。,It is not until you go abroad that you realize how small Japan is.,You'll know the Japanese's best about Japan before you go to Japan.,"If you are traveling abroad, you will know the details of Japan."
喺外國生活係學外語嘅最佳方法。,Living abroad is the best way to learn a foreign language.,I have learned the best way to learn foreign languages in foreign life.,The best way to learn foreign language is by studying foreign life.
唔好以貌取人。,Don't judge a person by his appearance.,I'm a good man.,I'd like to see you.
幅畫遠啲睇好啲。,The picture looks better at a distance.,The width of the painting is very good.,I've had a lot of fun with him.
大家唔該望吓黑板。,"Look at the blackboard, everyone.",I'm afraid you're going to be afraid of the blackboard.,We're all looking for blackboards.
我打爛咗你個煙灰缸。,I broke your ashtray.,I'm gonna burn your cigarette crate.,I'll fix your smokestack.
我哋返緊屋企。,We're on our way home.,I'm going back to the house.,I'm going back to my hometown.
間公司蝕緊錢。,The company is in deficit.,The company was forced to pay off its debt.,The inter-communal corporations squeezed money.
去出口個收銀處俾錢啦。,Pay the cashier on the way out.,I'm going to export my bank account to B.C.,I'm going to go out to the cashier's office.
會議會喺東京舉行。,The conference is to be held in Tokyo.,The meeting was held in Tokyo.,The meeting was held in Tokyo.
個會可唔可以喺兩個鐘頭之內開完呢？,Can the meeting be finished within two hours?,Can the individual meeting be opened within two bell heads?,Can the individual meeting be opened within the two bell heads?
我哋俾成班蜜蜂攻擊。,We were attacked by swarms of bees.,I'm gonna attack the bee in my class.,I'm gonna attack the bees in my class.
我哋要詳細噉分析吓件事發生嘅前因後果。,We have to make a close analysis of the accident.,I'll analyze the causes and consequences of the terrorism that occurred in detail.,I'm going to analyze the cause and effect of the scare that happened in detail.
我哋輪流揸車。,We took turns driving the car.,I'm driving my car.,I'm going to drive my car.
我哋敲咗五分鐘門都冇人應。,"We knocked at the door for five minutes, but in vain.",I'll be there for five minutes and I will be right.,I've been knocking on the five-minute door all the time.
