cantonese,english,greedy,beam
你不知道自己無法在水上走嗎?,Don't you know you can't walk on water?,Don't you know you can' t walk on water?,Do you know that you can't walk on water?
那我們怎麼拿它?,Then how are we ever gonna get 'em? Hey!,So how do we get it?,So how do we get it?
"唏,你看",Look!,"Well, you see.","Well, you see."
"我們有辦法了,來吧",Here's how we'll do it! Come on!,We have a way. Come on.,We have a way. Come on.
今日正好適合出海,Well... . Nice day for a sail.,Today is a good day for the sea.,It's a great day out at sea.
搞什麼...,What the...,What are you doing?,What are you doing?
可惡!,Doggone!,What a mess!,What a mess!
我隻船呀!,My boat!,My boat!,My boat!
"唏,你看我找到什麼,來,試戴看看","Hey! Look what I found! Here, try it on.","Well, you see what I find, come and try it.","Well, you see what I find, come and try it on."
我走著走著 啦啦啦,As I was a-walking la la la la,I'm going to go on.,I'm on my way.
喂 唏 迷倒那位男子,"Wey, hey, blow the man down",And I lost the man.,"Oh, oh, my God, I lost that man."
年輕貌美的姑娘 啦啦啦,A pretty young damsel la la la la la,"Young and beautiful girls, come on.","It's a young, handsome girl."
給我點時間 迷倒那位男子,Give me some time to blow the man down,Give me time to get lost.,Give me time to lose that man.
聽住,"Now, hear this.",Listen to this.,Listen to this.
"在甲板上集合,封住船艙的洞口","Muster up at quarterdeck, batten down the holes!",Get on the deck and close the hole in the hull.,Gather on the deck and close the hole in the hull.
"張起風帆,索緊船尾,清洗甲板","Rig the jib, belay the poop and swab the deck!","A sailboat, searching for the tail, cleaning the deck.","A wind sail, searching for the tail, cleaning the deck."
這湍急的水流真可惡,Goll darn these mighty great waters!,The water was so violent.,What a terrible flood of water.
"可惡的海盜,等我收拾你們吧",Doggone pirates! I'll fix you!,"You wicked pirates, wait for me to pick you up.","You evil pirates, wait for me to pick you up."
你怎麼駛船不帶眼?,"Well, why didn't you look where you were going?",Why do you sail without eyes?,Why do you sail without eyes?
"快去固定水桶,我是船長",Belay the scuttlebutt. I'm the skipper.,I'm the captain.,I'm the captain.
回去你的艙,Get to your quarters!,Go back to your shed.,Go back to your shed.
手動水泵,Man the pump!,Hand-held water pumps.,Handheld water pumps.
有人跌落水,Man overboard!,Someone fell into the water.,Someone fell into the water.
"可惡,你們兩個海盜","Doggone it, you pirates!",Woe to you two pirates.,"Wretched, you two pirates."
等我好好收拾...,Wait till I get my hands on...,I'll get my things together.,I'm going to pack it up.
所有人到甲板集合,All hands on deck!,Everyone on the deck.,Everyone on the deck.
"-收到,船長","- Aye, aye, sir!","- I got it, Captain.","- I got it, Captain."
"-喂,等陣",- Hey! Wait!,"- Oh, wait a minute.","- Oh, wait a minute."
-不要上去,- Don't go up there!,- Don't go up there.,- Don't go up there.
-我捉到你了,- I got you!,- I got you.,- I got you.
快給我回來,Get back here!,Give it back to me.,Give it back to me.
喂喂!,"Ahoy! Chip, ahoy!","Oh, my God!","Oh, my God!"
"唏,大鼻,醒醒呀,你看看",Hey! Dale! Get up!,"Wow, big nose, wake up, you see.","Wow, big nose, wake up, you see."
-牠要來抓我們了,- He's coming after us!,- He's coming for us.,- He's coming for us.
"-放心,船長","- Don't worry, Skipper.","- Don't worry, Captain.","- Rest assured, Captain."
"唏,大鼻,你看牠在做什麼","Hey, Dale, look what he's doing now.","Wow, big nose, look what it's doing.","Wow, big nose, look what he's doing."
"船長,冷靜點","Calm yourself, Captain.","Captain, calm down.","Captain, calm down."
"大鼻,快醒醒,牠正划艇過來","Dale, come on, quick! He's coming in on a rowboat.","Big nose, wake up, it's coming by boat.","Big nose, wake up, it's coming by boat."
"別擔心,一切都在掌握之中","Fear not, the situation is well in hand.","Don't worry, I got it all.","Don't worry, everything is under control."
"唏,起身呀,牠來了","Hey, get up, here he comes!","Oh, wake up, he's here.","Oh, wake up, he's here."
"唏,牠正從3點鐘方向過來",Hey! He's coming in at three o'clock!,"Well, it's coming in the direction of 3:00.","Well, it's coming in the direction of 3:00."
"你看,繩結","Look, knots.","You see, the knot.","You see, knots."
我要撞沉牠們,I'll ram them!,I'm going to hit them.,I'm going to hit them.
"我要將牠們石沉大海,我...",I'll scuttle them. I'll...,"I'm going to throw them in the ocean, and I...","I'm going to throw them in the ocean, and I..."
天啊...,"Oh, boy, oh, boy!","Oh, my God.","Oh, my God."
簡直滿載而歸,What a cargo.,It's just full of stuff.,It's just full of stuff.
"大鼻,你看牠在做什麼",Dale! Look what he's doing now.,"Big nose, look what he's doing.","Big nose, you see what he's doing."
毕小姐，早,"Good morning, Miss Prescott.","Miss Bee, good afternoon.","Miss Bee, good afternoon."
毕小姐，早,"Good morning, Miss Prescott.","Miss Bee, good afternoon.","Miss Bee, good afternoon."
听着,Now hear this!,Listen to this.,Listen to this.
这一期我不能这样子发行,I simply cannot release this issue the way it is!,I can't publish this issue like this.,I can't publish this issue like this.
优秀创刊60年，这期最差劲,"In the 60 years of Quality magazine, this hits rock bottom.",It's the worst in 60 years.,It's the worst in 60 years.
若我通过它，就有负美国的女性,"If I let this go through, I will have failed the American woman.","If I pass it, there are women who are American.","If I go through it, there are women in America."
毕小姐，别这样说,"No, Miss Prescott, don't say that!","Miss Bee, please don't say that.","Miss Bee, please don't say that."
美国女性光着身子站着... 等着我提点她们该穿什么衣服,"The great American woman, who stands out there naked, waiting for me to tell her what to wear.",American women stand in their faces and wait for me to tell them what to wear.,American women stand with their bodies shining and wait for me to tell them what to wear.
这个没有启示,It doesn't speak.,This is not a revelation.,There is no revelation.
若我觉得它不行，对谁也是不行,"And if it won't speak to me, it won't speak to anyone.","If I think it's not working, it doesn't work for anyone.","If I don't think it's going to work, no one else will."
一本杂志要像一个人,A magazine must be like a human being.,A magazine is like a person.,A magazine should be like a person.
若它进入家中就要有所贡献,If it comes into the home it must contribute.,"If it's going to get into the house, it has to contribute.","If it gets in the house, it's going to have to contribute."
不能毫无建树的,It just can't lie around.,It's impossible to build trees without them.,You can't build a tree without it.
一本杂志一定要有... 内涵和气派,A magazine must have... ..blood and brains and pizzazz.,A magazine has to have... a sense of humor.,A magazine has to have... meaning and style.
这只是纸张,This is just paper!,It's just paper.,It's just paper.
寄纸张给美国女性会令她们失望,"If I send paper to the American woman, I will have let her down.",Sending paper to American women would disappoint them.,Sending papers to American women would disappoint them.
毕小姐，不要这样说,"No, Miss Prescott, you mustn't say that.","Miss Bee, don't say that.","Miss Bee, don't say that."
不错...,Yes.,"Well, what?",All right.
没落,D for down.,It didn't.,It didn't.
沉闷,D for dreary.,It's very sad.,It's very depressing.
枯燥和令人沮丧 忧郁和无生气,"D for dull and for depressing, dismal and deadly!","Tired and frustrating, depressed, and unnerving.","It's boring and frustrating, depressing and irritable."
这就是了,Ahh! Here it is!,That's it.,That's it.
这就是我们的主题，粉红色,Here is our theme. Here is our answer. Pink!,"That's our theme, pink.","That's our theme, pink."
把这个交给设计师,"Girls, girls, girls, girls. Listen, take this to all the designers.",Give this to the designer.,Give this to the designer.
我要用这个粉红色做裙子,I want dresses made up in exactly this shade of pink.,I'm going to use this pink as a necklace.,I'm going to use this pink to make a necklace.
贝丝，拿这个给戴启成,"Babs, take this to Kaiser Delmont.","Beth, turn this on.","Beth, put this on."
我要皮鞋和丝袜都用这个颜色,I want shoes and stockings in exactly this colour.,I want leather shoes and silk in this color.,I want leather shoes and silk in this color.
罗拉，所有东西都用粉红色,"Laura, everything goes pink!","Rolla, everything is pink.","Rolla, everything is pink."
全本杂志和全国都要用粉红色,I want the whole issue pink. I want the whole country pink!,The magazine and the country are all in pink.,The whole magazine and the whole country is in pink.
"丽缇，写篇稿""致美国的女性""","Lettie, take an editorial. ""To the women of America...""","She wrote a paper called ""To American Women"".","She wrote a thesis, ""To the Women of America""."
"不，改做""致各地的女性""","No, make it ""To the women everywhere.""","No, it's called ""To Women Everywhere"".","No, it's called ""Women everywhere""."
赶走黑色 烧掉蓝色 和埋藏米色,"Banish the black, burn the blue, and bury the beige.","Get rid of the black, burn the blue, and hide the rice.","Get rid of the black, burn the blue, and hide the rice."
从此以后，小姐们...,"From now on, girls... ♫ Think pink!","From now on, the ladies...","From now on, ladies and gentlemen..."
美琪？,Maggie?,What is beauty?,What is beauty?
杜维治，我要找你,Dovitch! I want to see you.,"DuVie, I'm going to find you.","Duwidge, I'm going to find you."
你们回去工作，男士们，行了,"Girls, back to work. Gentlemen, that will do!","Go back to work, men, and go.","Go back to work, men, and go."
铁路局要把一列火车漆成粉红色 将它巡回展出,The Union Pacific railroad is going to paint a whole train pink and send it on a north west tour.,The railroad had to paint a train pink and put it on display.,The railroad had to paint a line of trains pink and put it on display.
TWA会通知我们可否有粉红飞机,TWA will let me know this afternoon if we can have a pink plane.,TWA will notify us if we have a pink plane.,TWA will notify us if we have a pink plane.
两周来我所见的女人都穿粉红色,I haven't seen a woman in two weeks in anything but pink.,The women I've met for the past two weeks are all wearing pink.,All the women I've seen in the last two weeks are pink.
你又怎样？,- What about you?,How are you?,How are you?
我？,- Me?,What about me?,What about me?
我不会落后,I wouldn't be caught dead!,I'm not going to be behind.,I'm not going to fall behind.
我要告诉你我下期的专题,"Dovitch, I can't wait to tell you about my feature for the next issue.",I'll tell you about my next topic.,Let me tell you about my next topic.
这是我最新的计划，你会惊讶的,"It's my newest project. And when you hear it, you will drop!","This is my latest project, and you'd be surprised.","This is my latest project, and you'd be surprised."
是什么？,- Now what?,What is it?,What is it?
听着,- Just you listen.,Listen to this.,Listen to this.
迪克已开始拍照了,Dick Avery started working on the pictures this morning.,Dick is already taking pictures.,Dick has begun to photograph.
他比我们更兴奋,He's more excited about it than any of us.,He's more excited than we are.,He's more excited than we are.
这个...,Here it is.,This one...,This one...
给忽视服装的女性的服装,Clothes for the woman who isn't interested in clothes.,Women's clothing that is ignored,Clothes for women who don't wear clothes.
玛莲，给我一个深沉的表情,"Marion, give me a long look.","Marlene, give me a deep look.","Marlene, give me a deep look."
深沉一点,Longer.,A little deeper.,A little deeper.
仕德，把后灯调低一点，好了,"Steve, eh, tip that back light down a bit, will you?","Seward, turn the backlight down a little bit, all right.","Seward, turn the backlight down a little bit, all right."
停，贝多芬没效，试试布拉姆斯,"Hold it, boys. Beethoven isn't working. Try Brahms.","Stop, Beethoven is not working. Try Brahms.","Stop, Beethoven doesn't work. Try Brahms."
玛莲，我想再来一次,"Ahm, look, Marion, I'd like to try it again.","Marilyn, I want to come back.","Marilyn, I want to come back again."
看这次可否成功,"This time, let's see if we can't get with it.",See if this works.,Let's see if this works.
记着你是个有思想的女人,Keep in mind that you're a woman who thinks.,"Remember, you are a woman of thought.","Remember, you are a thoughtful woman."
这是贝齐的雕刻作品,"Now, that is a piece of sculpture by Itsabuchi.",This is Bezzi's sculpture.,This is Bezzi's sculpture.
用理解它的眼神看着它,Look at it as if you understand it. As if it understands you. See?,Look at it with the eyes of understanding.,Look at it with the eyes of understanding.
那不是我们想着贝齐时的样子,"No Marion, I'm afraid that's not the way we look when we're thinking of Itsabuchi.",It's not what we thought it would be like in Bezzia.,It's not the way we thought it would be in Bezzia.
对它作出反应...,React to it.,And reacting to it...,Reacting to it...
说出来吧,Just... say it.,Tell me about it.,Tell me about it.
贝齐？,"Itsabuchi, hmm?",Bezzie?,What about Bezzi?
你不太明白，留心听着,"You haven't quite got it. Now, listen carefully.","You don't understand, you listen carefully.","You don't understand, you listen carefully."
你身处现代艺术博物馆,"You are in the Museum of Modern Art, Marion.",You're in the Museum of Modern Art.,You're at the Museum of Modern Art.
渊博、深奥的,"Deep, Marion. Profound, Marion.","Gambling, deep down.","Gambling, deep down."
你看到这雕像，它令你有所感受,You have come across this statue.,"You see this statue, it makes you feel.","You see this statue, it makes you feel."
因为你有知识，经常思考,"And it says something to you because you are intellectual, always thinking.","Because you have knowledge, you think often.","Because you have knowledge, you think often."
你在想什么？,What are you thinking?,What are you thinking?,What are you thinking?
我在想已经拍了很久 我不能替夏洛拿衣服了,"I'm thinking this is taking a long time, and I'll never be able to pick up Harold's laundry.","I've been thinking about this for a long time, and I can't change my clothes for Charlotte.","I've been wanting to do this for a long time, and I can't change my clothes for Charlotte."
夏洛拿不到衣服时，会是大灾难,"When Harold doesn't get his laundry, disaster!",It would be a disaster if Sharon didn't get her clothes.,It would be a disaster if Sharon didn't get her clothes.
这个做不好，你休想见夏洛，来,"If we don't get this fixed, you may never see Harold's laundry or Harold again. Let's go.","This is not working, you want to see Charlotte.","This doesn't work. You want to see Charlotte, come on."
有思想的女性要认真对待时装,The woman who thinks must come to grips with fashionable attire.,Thinking women take fashion seriously.,Thoughtful women take fashion seriously.
女人可以美貌智慧俱备，看封面,"A woman can be beautiful, as well as intellectual. See facing page.","Women can be smart and beautiful, and look at the cover.",Women can be smart and beautiful and look on the cover.
封面是怎样了？,And how is the facing page?,How's the cover?,How's the cover?
封面照拍得像蛇般精明,The facing page looks about as intellectual as a snake.,The cover is snake-like.,The cover is snake-like.
胡说，玛莲可以很有深度的,Nonsense. Marion can be very deep.,And Marlene is very profound.,"I mean, Marilyn can be very profound."
看，她在阅读,Look at her. She's reading.,"Look, she's reading.","Look, she's reading."
玛莲，你在看什么书？,"Marion, dear, what are you reading?","Marilyn, what book are you reading?","Marilyn, what book are you reading?"
火星来的小人,Minute Men From Mars!,Little people from Mars.,Little people from Mars.
我们继续还是换人？,"Are we all gonna hang around, or get somebody else?",Should we move on or change?,Should we move on or change?
彭露丝怎样？,- How about Lucy Brand?,How is Lucy?,How is Lucy?
去了度蜜月,- On her honeymoon.,I went on my honeymoon.,We went on our honeymoon.
夏贝蒂呢？,- Betty Hayes?,What about Shabby?,What about Shabby?
她在坐监,- She's in jail.,She's in prison.,She's in prison.
没有美貌与智慧俱备的模特儿了,Are there no models around who can think as well as they look?,There is no model of beauty or intelligence.,There are no models of beauty and intelligence.
用别的背景，玛莲或会好一点,Marion might look better in a different background.,"In a different context, Marlene might be a little better.","In a different context, Marlene might be a little better."
我们可以去个有学术气息的地方,We can go on location. Some intellectual hang-out.,We could go to a place with an academic atmosphere.,We could go to a place with an academic atmosphere.
有书籍的地方 书店,- Somewhere with books. - A book store!,"There are books, bookshops.","There are books, there are bookstores."
格林威治村一个阴森的地方，来,Of course! One of those sinister places in Greenwich Village.,"Greenwich Village, a place of grass, came to","Greenwich Village, a place in the middle of nowhere."
快点，还要在途中替夏洛取衣物,"Come on, girls! Let's hurry. We might have to stop and pick up Harold's laundry on the way.","Hurry up, and I'm going to get some clothes for Charlotte.","Hurry up, and I'm on my way to get some clothes for Charlotte."
那里有一间,There's one.,There's a room there.,There's a room there.
司机，停车,"Driver, stop here.","Driver, stop the car.","Driver, stop the car."
那够阴森了,That's sinister enough.,That's a lot of shit.,That's bad enough.
梅丽，帮我拿这盏灯，它很重,"Melissa, for heaven's sake, help me with this lamp! It's heavy.","Mary, help me with this lamp, it's heavy.","Mary, help me with this lamp, it's heavy."
不行，我满手都是东西了,"I can't, Babs, I got my hands full.","No, I'm full of stuff.","No, I'm full of stuff."
真阴暗，我们可以布置它就好了,It's movingly dismal. We couldn't have done better if we'd designed it ourselves.,"It's really dark, and we can set it up.","It's really dark, and we can set it up."
玛莲看来已经精明一点了,Marion looks smarter already.,Marilyn seems to be a little smart.,Marilyn seems to be a little smart.
抱歉，我看不到你，你没事吧？,I'm sorry. I didn't see you up there. Are you alright?,"Sorry, I can't see you, are you okay?","I'm sorry, I can't see you, are you okay?"
没事，有何效劳？,"Yes, thank you. Can I help you?",It's okay. What'll it do?,"All right, what's the point?"
你想买书吗？,Would you like a book?,Do you want to buy a book?,Do you want to buy a book?
玛莲，过来 她们是谁？,"- Marion, over here. - Who are those?","Marlene, come on. Who are they?","Marianne, come on. Who are they?"
我可否替你效劳？,May I help you?,Can I work for you?,Can I work for you?
谢谢，我们有所需的东西了,Thank you very much. I think we have everything we need.,Thank you. We have what we need.,Thank you. We have what we need.
请告诉我这是什么一回事,Please tell me what all this is about.,Please tell me what this is.,Please tell me what this is.
我们只想拍一些照片,We're just going to take a few pictures.,We just wanted to take some pictures.,We just wanted to take some pictures.
什么照片？,Pictures? What sort of pictures?,What photograph?,What photos?
你是店主吗？,- Are you the owner?,Are you a shopkeeper?,Are you a shopkeeper?
蒲博士才是,"- No, Dr Post is.",Dr. Liu is the one.,This is Dr. Liu.
我在此工作，她不在时由我管理,"I work here, and I'm in charge in her absence.","I work here, and she's in my office when she isn't.","I work here, and when she's not around, I manage her."
我是施采，你可否帮我？,I'm Jo Stockton. Can you help me?,"I'm a carpenter, can you help me?","I'm a carpenter, can you help me?"
你好，我是颜迪克,How do you do? I'm Dick Avery.,"Hello, my name is Yandik.","Hello, my name is Yandik."
要拍什么照片？,What about these pictures?,What kind of photo?,What kind of photos are you going to take?
我们想用这店子做背景 替优秀杂志拍时装照,"Well, we are using the shop as a background for some fashion pictures for Quality magazine.",We wanted to use this store as a backdrop for fashion photography for great magazines.,We wanted to use it as a backdrop for fashion photography for great magazines.
抱歉，不行，蒲博士不会同意的,I'm sorry. but I can't let you do this. Dr Post would never approve.,"I'm sorry, no, Dr. Liu would not agree.","I'm sorry, no. Dr. Liu would not agree."
她不认同时装杂志的,She doesn't approve of fashion magazines.,She didn't recognize the simultaneous magazine.,She didn't recognize the synchronization of magazines.
它俗气而且是不实际的自我形象,It's chi-chi and an unrealistic approach to self-impressions as well as economics.,It's a very obscure and unrealistic self-image.,It's a vulgar and unrealistic self-image.
麻烦，她是个思想家 又多嘴,- We're going to have trouble. She's a thinker. - She's also a talker!,"Trouble is, she's a thinker and a mouthful.","Trouble is, she's a thinker, and she has a mouth."
我得请你们离开,I must ask you to leave.,I have to ask you to leave.,I have to ask you to leave.
我们求求你,We throw ourselves at your mercy.,We ask you.,We ask you.
我们这样的可怜人没维生权利吗,Haven't poor helpless people like us a right to make a living?,Do we not have the right to live?,Don't poor people like us have the right to live?
我请你们离开，这是我的权利,I have asked you to leave. That is my right.,"I ask you to leave, it's my right.","I ask you to leave, that's my right."
若个人权利... 不被群众尊重，群众就不能存在,"If the rights of the individual are not respected by the group, the group itself cannot exist for long.","If human rights are not respected by the masses, the mass cannot exist.","If human rights are not respected by the masses, they cannot exist."
那是什么意思？,What does that mean?,What does that mean?,What does that mean?
己所不欲，勿施于人,"""Do unto others as you would have others do unto you.""",Do not give to others what you want.,Don't give what you want.
我们只会麻烦你一会儿 而且我们自己的麻烦更多,"We'll only do unto you for a moment, and it's no more than we would do unto ourselves.","We're going to be bothering you for a while, and we'll be having more trouble ourselves.","We're only going to bother you for a while, and our own problems are more."
我要重新摆放这些书籍,"Girls, I want all these books rearranged.",I need to put these books back together.,I need to rearrange these books.
它们太相似和有系统，调乱一下,They look too much alike. They're too pat. Mix them up.,"They're so similar and so systematic, so mess up.",They're so similar and so systematic.
你们不能把它们调乱,"No, you mustn't mix them up.",You can't mess them up.,You can't mess them up.
这书架上的书是有关经验主义 这是唯物主义，这是心身平衡论,"The books on this shelf pertain to empiricism, and on this shelf, materialism, and on this, psychopiscoparalysm.","This book on the shelf is about empiricism, materialism, mental and physical balance.","This book on the bookshelf is about empiricism, materialism, mind-body balance."
请放回去，我要花几小时整理的,"Put them back. Oh, please talk to her. It'll take me hours.","Please put it back, I'll take a few hours to sort it out.","Please put it back, and I'll take a few hours to sort it out."
没人敢对毕美琪说话，只可聆听,One never talks to Maggie Prescott. One only listens.,"Nobody would talk to Kim, they would just listen.","No one dares to talk to Kim, only to listen."
我们该放她在照片内，请过来,"Here. I think we ought to use her in the shot. Miss, come here, please.","We should put her in the photo, please come.","We should put her in the photo, please come."
我？,- Me?,What about me?,What about me?
你卖书给那个女孩,- You're selling a book to that girl.,You sold the book to that girl.,You sold the book to that girl.
她？,Her?,She?,She?
装假玛莲懂得看书吧,It's very simple. Just pretend that Marion can read.,Pretend that she can read.,Pretend to be able to read.
听着！,"Say, listen!",Listen to me!,Listen to me!
玛莲，我们来吧,"Alright, Marion, let's go.","Let's go, Marlene.","Marianne, let's go with this."
但这有违我的原则,But this would be a violation of all my principles!,But it was against my principles.,But it was against my principles.
这样做我会很虚伪的,It would be hypocrisy for me to lend myself to this sort of idealism.,I would be hypocritical.,That would be hypocritical.
对不起，但是...,"- I'm sorry, but... - Shush.","I'm sorry, but...","I'm sorry, but..."
向玛莲介绍一下那些书籍吧,"Now, tell Marion about the books so that we can get out of here.",Let me show you these books to Marilyn.,Let's introduce these books to Marilyn.
这个写副现象论，涉及意识能力 作为生理过程的附属品 无论你在做什么...,"This book deals with epiphenomenalism, which has to do with consciousness as a mere accessory of physiological processes whose presence or absence makes no difference...","This writing about sub-phenomenology involves consciousness as an accessory to the biological process, no matter what you do.","This writing about sub-phenomenology involves consciousness as an accessory to physiological processes, no matter what you're doing."
它存在与否也没有分别？,Whatever are you doing?,Is it real or not?,Does it matter if it exists or not?
别动！,"Alright, hold it!",Don't move!,Don't move!
好，给她更衣 戴上帽子,- Good. Get her in another outfit. - Put on the shebop.,"Okay, give her a coat and put on a hat.","Okay, give her a coat and put on a hat."
你们擅闯私人地方,None of you seems to realise you're trespassing on private property.,You're not good at private space.,You don't know how to be private.
你们乱冲乱撞，我可以告你们,"You run around, sublime ignorant of the fact that I can have you put in jail.","You're all in a row, and I can tell you.","You're in a mess, and I can tell you."
最后一次 你很令人烦厌,- For the last time... - You're getting tiresome.,You're boring for the last time.,"For the last time, you're annoying."
你干什么？,What are you doing?,What are you doing?,What are you doing?
放手,Let go. Let go of my arm!,Let go of it.,Let it go.
我知你没恶意，但你阻碍着大家,"I know you don't mean any harm child, but you are in everyone's way.","I know you don't mean to, but you're in the way.","I know you don't mean to, but you're in the way."
我们很快便完工,"Now, we won't be a moment.",We're going to be done soon.,We'll be finished soon.
让我进来,Let me in!,Let me in.,Let me in.
新鲜空气对她有益，她很苍白,The air will do her good. She was very pale.,"Fresh air was good for her, and she was pale.","Fresh air was good for her, and she was pale."
好，预备,"Alright, hit it.","Okay, get ready.","Okay, get ready."
别动，准备好没有？,Hold it. Ready?,"Don't move, are you ready?","Don't move, are you ready?"
好，再来一张,"Good. One more, please.","Okay, here's another one.","Okay, here's another one."
好，看着,Alright. Hit it.,"Okay, look at that.","Okay, look at that."
别动，准备？,Hold it. Ready?,"Don't move, are you ready?","Don't move, are you ready?"
再来，最后一张,"Very good, Marion. One more, please. Last one.","And then, here's the last one.",And here's the last one.
来吧,"Alright, here we go.","Come on, you know.",Come on now.
看着,Hit it.,Look at this.,Look at this.
别动，预备,Hold it. Ready.,"Don't move, get ready.","Don't move, get ready."
好，应该够了,"OK, that's it. That ought to do.","Well, that should be enough.","Well, that should be enough."
完了没有？,- Quite through? - Thank you.,Is it over?,Are you done?
你做得很好,You've been wonderful.,You did great.,You did a good job.
我们会在杂志提及这店子,We'll mention the shop in the magazine.,We'll talk about it in magazines.,We're going to talk about it in magazines.
你休想！,Don't you dare!,You think about it!,Stop thinking about it!
计程车,Taxi!,The trailers.,The trailers.
天啊！,"Oh, no!","Oh, my God!","Oh, my God!"
你好,Hello there.,You are welcome.,How are you?
我留下来帮你收拾一下,I stayed to help you put these things back.,I'll stay and help you pack it up.,I'll stay and help you pick it up.
我不知道我们会弄得这样凌乱,"I'm sorry, I didn't realise we made such a mess.",I didn't know we were going to get this mess.,I didn't know we were going to get this mess.
唯物主义放在哪个书架？,Which shelf for materialism?,On which bookshelf is materialism?,On which bookshelf is materialism?
交给我好了,Just hand them to me.,Give it to me.,Give it to me.
不,"Oh, no.","No, not at all.","No, not at all."
你们该感到羞耻,You should be ashamed of yourself.,You should be ashamed of yourself.,You should be ashamed.
我们通常不会那样擅闯进来的,"I'm sorry, we don't usually barge in that way.",We don't usually get in that good.,We're not usually that good at sneaking in.
