cantonese,english,greedy,beam
你成日都做錯嘢。,You're forever making mistakes.,You always do things wrong.,You always do things wrong.
你後日一定要做完呢份功課。,You must get this homework finished by the day after tomorrow.,You have to finish this homework the next day.,You have to finish the homework the next day.
你識唔識讀呢個漢字呀？,Can you read this kanji?,Can you read this kanji?,Do you know how to read this kanji?
你喺呢度簽個名就得㗎喇。,You have only to sign your name here.,You have to sign here.,You have to sign here.
你喺度簽個名就得㗎喇。,All you have to do is sign your name here.,You're just signing the name.,You have to sign the name.
你通常幾點起身㗎？,What time do you usually get up?,What time do you usually get up?,What time do you usually get up?
如果你諗住去美國嘅話，你最好練好你啲英文先。,You better brush up your English if you go to America.,"If you're thinking of moving to the United States, you should learn your English.","If you're thinking of moving to the U.S., you should learn your English."
你要食早餐啊。,You need to have breakfast.,You need to eat breakfast.,You have to eat breakfast.
你啲頭髮長得濟。,Your hair is too long.,Your hair is growing.,Your hair is growing.
你啲頭髮都好唔整齊噃。,Your hair really does look untidy.,Your hair is not all right.,You don't have the right hair.
你方便嘅時候嚟見我吖。,Come and see me when it is convenient for you.,Come to me when you're comfortable.,Come to me when you're comfortable.
我唔記得咗你個電話號碼。,I forget your phone number.,I didn't forget your phone number.,I didn't forget your phone number.
我唔記得咗你個電話號碼。,I forget your telephone number.,I didn't forget your phone number.,I didn't forget your phone number.
你生日就到啦噃。,Your birthday is drawing near.,Your birthday is coming.,It's your birthday.
你隻錶準唔準㗎？,Is your watch correct?,Is your target right?,Is your target right?
你隻錶慢咗十分鐘。,Your watch is ten minutes slow.,Your mouse slowed down for 10 minutes.,Your car has slowed down for 10 minutes.
你啲文章寫得好好，但係有好多字串錯咗。,Your composition was good except for the spelling.,"Your articles are very good, but there are many lines that are wrong.","You write well, but you miss a lot of lines."
你間學校喺邊呀？,Where is your school?,Where is your school?,Where is your school?
如果唔係有你幫手，我生意一定唔會咁成功。,"If it had not been for your aid, I would not have succeeded in my business.",My business would not have been as successful without your help.,I don't think my business would have been as successful without your help.
你啲英文進步咗好多。,Your English has improved a lot.,Your English has improved a lot.,Your English has improved a lot.
你唔好嬲我啦，我咁做都係為咗你㗎咋。,"Don't be angry with me, for I did it for your sake.","Don't make me laugh, I'm doing this for you.","Don't make fun of me, I'm doing this for you."
你一流嘅工作令我感到慚愧。,Your excellent work puts me to shame.,Your work is a shame.,I am ashamed of your excellent work.
你件恤衫粒鈕就嚟甩喇。,Your shirt button is coming off.,Your shirt is coming in.,Your shirt's on fire.
你嗰班有幾多人㗎？,How many are there in your class?,How many people are in your class?,How many people are in your class?
我唔小心拎錯咗你把遮。,I took your umbrella by mistake.,I didn't care if you were wrong.,I don't care if I miss your cover.
感激不盡。,I can't thank you enough.,Thank you so much.,I can't thank you enough.
真係唔知點多謝你好。,I can't thank you enough.,I don't know how to thank you.,I really don't know how to thank you.
我借呢本書畀你啊。,I'll lend you this book.,I borrowed this book from you.,I borrowed this book from you.
你實掂嘅！加油呀！我會支持你！,You can make it! Go for it. I'll stand by you.,You're doing it! Fuel! I'm with you!,You did it! Fuel! I'm with you!
佢同你一樣，打哥爾夫球都好勁。,"He, just like you, is a good golfer.",He's just as good at golf as you.,He's just as good at golf as you.
我唔鍾意你哋兩個去埋啲噉嘅地方。,I don't like both of you going to such a place.,I don't like you two going to this place.,I don't like you two going to this place.
你話咗俾我聽之後，我先知呢份文件有幾咁緊要。,I hadn't recognized the importance of this document until you told me about it.,And I realized how important this document is after you told me about it.,"After you told me about it, I realized how important this document was."
你粒聲唔出，啫係唔滿意我嘅答案啦。,I take it from your silence that you are not satisfied with my answer.,You don't sound like you're satisfied with my answer.,"If you don't, you're not satisfied with my answer."
一係你錯，一係佢錯。,Either you or he is wrong.,Either you're wrong or he's wrong.,Either you're wrong or he's wrong.
你諗住買嗰架車幾多錢㗎？,How much is the car you are planning to buy?,How much do you think it will cost to buy that car?,How much do you think it will cost to buy that car?
你成唔成功，就要睇吓你努唔努力喇。,Whether you will succeed or not depends on your efforts.,"If you fail, you're not trying.","If you don't succeed, look at how hard you try."
因為你唔夠努力，所以先會失敗。,The reason why you failed is you did not try hard enough.,You fail because you don't try hard enough.,"Because you don't try hard enough, you fail."
你應該自己同老師講。,You should talk to the teacher yourself.,You should talk to your teacher.,You should talk to your teacher.
無咩嘢好味得過你整啲嘢食。,Nothing is so tasty as the dish you make.,There's nothing better than cooking.,Nothing tastes better than cooking.
你啱啱先食完晚餐，無理由咁快就肚餓嗰喎。,You can't be hungry. You've just had dinner.,You're just eating dinner and you've got a lot of hunger for no reason.,You've just finished dinner and you're hungry for no reason.
我尋晚留喺屋企等聽你電話。,I stayed home last night to be able to receive your call.,I stayed home last night to listen to your phone.,I stayed at home last night waiting for your call.
計吓你用咗幾多錢買書。,Try to estimate how much you spent on books.,And you can count how much you spent on books.,Calculate how much you've spent on books.
你信又好，唔信又好，對我嚟講無咩分別。,It makes little difference to me whether you believe it or not.,"Believe it or not, it doesn't matter to me.","Believe it or not, it doesn't matter to me."
你一定會後悔㗎。,The time will come when you will be sorry for it.,You will regret it.,You will regret it.
我好掛住你。,I miss you very much.,I'm so attached to you.,I'm hanging on to you.
呢封信係俾你㗎。,Here is a letter for you.,This letter is for you.,This letter is for you.
你唔明。,You don't understand.,You don't understand.,You don't understand.
麻煩你入屋之前除咗對鞋先吖。,Please remove your shoes before entering the house.,"It's a problem for you to get in the house, except for the shoes.",It's hard to get in the house except for the shoes.
佢啱啱先食完晏，無理由會肚餓。,He cannot be hungry; he has just had lunch.,"She's just finished eating, and she'll be hungry.","She's just finished her meal, and she has no reason to be hungry."
唔該你話我聽機場點去吖。,Please tell me how to get to the airport.,Please tell me how to get to the airport.,Please tell me how to get to the airport.
無咗空氣同水，人類就生存唔到。,Both air and water are indispensable for life.,"Without air and water, we cannot survive.","Without air and water, we cannot survive."
月球表面冇空氣，所以冇風，亦都冇聲音。,Without air there can be no wind or sound on the moon.,"There is no air on the surface of the moon, so there is neither wind nor sound.","There is no air on the surface of the moon, so there is neither wind nor sound."
空肚飲酒對身體唔好㗎。,Drinking on an empty stomach is bad for your health.,Drinking alcohol is bad for your body.,Alcohol is bad for your body.
有錢人未必比窮人幸福。,The rich are not always happier than the poor.,Rich people are not always happier than poor people.,Rich people are not always happier than poor people.
嗰啲錢收埋咗喺地板下面。,The money was hidden beneath the floorboards.,The money was hidden under the floor.,The money was hidden under the floor.
我冇錢，但係我有夢想。,"I have no money, but I have dreams.","I don't have money, but I have dreams.","I don't have money, but I have dreams."
睇嚟好似冇晒錢囉喎。,It seems like there's no money left.,It seems like we're running out of money.,It looks like we're running out of money.
而家啲細路唔會通山跑㗎喇。,Nowadays children do not play outdoors.,Kids don't run around anymore.,Kids don't run to the mountains anymore.
雖然我同佢住得好近，但係都好少見到佢。,"Although her house is nearby, I seldom see her.","I lived close to her, but I rarely saw her.","Although I lived close to her, I rarely saw her."
呢頭有無戲院㗎？,Are there any movie theaters near here?,Is there a theater in here?,Is there a theater here?
緊急聯絡電話幾多號呀？,What is the emergency telephone number?,What is the emergency number?,What's the emergency number?
我想坐非吸煙區。,I would like to sit in the non-smoking section.,I want to sit in a non-smoking area.,I want to sit in a non-smoking area.
我一路切洋葱，啲眼淚就一路滮出嚟。,Tears came into my eyes when I was chopping onions.,I cut the onions and the tears came out.,The tears came out of my eyes as I cut the onions.
個班房裏面剩返好少學生。,There were few students remaining in the classroom.,There were very few students left in the classroom.,There were very few students left in the classroom.
啲老師想俾啲動力班學生。,The teachers are trying to motivate their students.,Teachers want to give students a little energy.,Teachers want to motivate their students.
唔好驚！,Don't be afraid.,Don't be afraid!,Do not be afraid!
啲警察根據現場留低嘅證物搵到個賊仔。,The burglar was traced by one of the things he had left on the scene.,The police found the robber based on evidence they left on the scene.,The police found the robber on the basis of evidence left at the scene.
我條喉俾魚骨骾親咗。,I got a fish bone stuck in my throat.,My throat was paralyzed by fish bones.,My throat was paralyzed by fish bones.
佢舊年開始喺嗰間公司度返工。,He began to work for that company last year.,He started working for the company last year.,He started working for the company last year.
我買咗兩枝牛奶。,I bought two bottles of milk.,I bought two cups of milk.,I bought two cups of milk.
牛食草。,Cattle feed on grass.,Cows eat grass.,Cows eat grass.
我一收到錢就即刻還錢俾你。,As soon as I get paid I will pay you back.,I'll pay you back as soon as I get the money.,I'll pay you back as soon as I get the money.
個侍應拎咗個新碟俾我哋。,The waiter brought a new plate.,The waiter gave us a new one.,The waiter gave us a new one.
我真係唔知笑好定喊好。,I don't know whether to cry or to laugh.,I really don't know whether to laugh or cry.,I really don't know whether to laugh or cry.
我趕時間嗰陣唔會喺呢到過馬路。,I avoid crossing the street here if I am in a hurry.,I wouldn't have been here if I had been in a hurry.,I wouldn't be here if I was in a hurry.
快手啲啦，我哋無乜時間淨㗎喇。,Hurry up. We've little time to waste.,"Hurry up, we don't have much time.","Hurry up, we don't have much time."
快啲啦，如果唔係我哋就遲到㗎喇。,"Hurry up, or we'll be late.","Hurry up, or we'll be late.","Hurry up, or we'll be late."
放假玩得開唔開心呀？,Did you enjoy your holiday?,Are you having fun on vacation?,Isn't it fun to go on vacation?
我可唔可以抖陣呀？,May I take a rest?,Can I fight?,Can I fight?
你放假諗住去邊度玩呀？,Where are you going to go on your vacation?,Are you thinking about where to play on your vacation?,Are you thinking about where you're going on vacation?
座山上面有一間屋。,There is a house on the hill.,There is a house on the mountain.,There is a house on the mountain.
虽然有逆境，建筑师仲系赢取咗享誉全球嘅荣誉。,"Despite adversity, the architect achieved worldwide fame.","Despite the setbacks, architects have earned global recognition.","Despite the setbacks, architects have gained global recognition."
虽然有逆境，建筑师仲系赢取咗享誉全球嘅名誉。,"Despite adversity, the architect achieved worldwide fame.","Despite the setbacks, architects have earned global recognition.","Despite the setbacks, architects have earned a global reputation."
你應該要準備間房畀訪客。,You should prepare a room for the visitor.,You should prepare a room for visitors.,You should prepare a room for visitors.
食煙有害健康。,Smoking is harmful to health.,Smoking is harmful to health.,Smoking is harmful to health.
食煙對健康唔好。,Smoking is harmful to health.,Smoking is bad for your health.,Smoking is bad for your health.
你係醫生。,You are a doctor.,You are a doctor.,You are a doctor.
啲規則一定唔可以多，同埋更加重要嘅係一定要簡單。,"The rules must be few, and more importantly, simple.","There must be no more rules, and more importantly, simple.","There must be no more rules, and more importantly, simple rules."
我唔慣呢度啲天氣，太唔同喇。,I can't get over how different the weather is here.,"I'm not used to the weather here, it's so different.","I'm not used to the weather here, it's so different."
睇住呀！嗰到有個大窿㗎。,Watch out! There's a big hole there.,Look! There's a big house there.,Look! There's a cabin over there.
算吧啦。,Forget it.,"So, let's see.",Let's see.
我返屋企嗰陣撞到佢。,I met him on my way home.,I ran into him on my way home.,I ran into it on my way home.
我咁夜先返真係對唔住呀。,I'm very sorry I came home so late.,I'm really sorry I came back this late.,I'm really sorry I came back this late.
你返屋企嗰陣順便嚟探吓我吖。,Please drop in at my house on your way home.,You came to visit me when you got home.,You came to visit me when you got home.
張枱下面有粒蘋果。,There is an apple under the desk.,There's an apple under the table.,There's an apple under the table.
我開心到彈咗起身。,I jumped for joy.,I was so happy to get up.,I was so happy to get up.
韓國菜一般都好辣。,Korean food is generally very spicy.,Korean cuisine is generally delicious.,Korean cuisine is generally delicious.
韓國菜出名辣。,Korean food is noted for its spicy flavor.,Korean cuisine is very popular.,Korean cuisine is very popular.
佢哋好快就拉埋天窗喇。,It won't be long before they get married.,They're closing the window.,They're closing their windows.
個罐係吉嘅。,The can is empty.,The pot is for Gigi.,It was Gigi's.
如果啲乾草著咗火就大劑喇。,"If the hay caught fire, it would be a real disaster.","If the grass is burning, it's a big deal.","If the grass is on fire, it's a big deal."
唔好踩落啲碎玻璃度。,Don't step on the broken glass.,Don't step on broken glass.,Don't step on broken glass.
玩得開心啲喇！,Enjoy yourself!,Have fun!,Have fun!
你玩得開唔開心呀？,Did you enjoy yourself?,Are you having fun?,Are you having fun?
佢讀書叻過晒佢啲朋友。,"In terms of learning, he is superior to all of his friends.",She's out of school and outnumbered her friends.,She's out of school with her friends.
我讀書嗰陣成日參加英文演講比賽。,I would often take part in an English speech contest in my school days.,I used to go to a TED talk contest in English when I was at school.,"When I was at school, I used to take part in English talk shows."
你讀邊間學校㗎？,Where do you go to school?,Where do you go to school?,Where do you go to school?
幾時放學呀？,When is school over?,When do you get off school?,When do you get off school?
學校會提供帳篷俾我哋。,The school will provide tents for us.,The school will provide tents for us.,The school will give us tents.
我好肯定係邊度見過佢，但係又唔認得佢。,"I am sure I met him somewhere, but I do not remember who he is.","I'm sure I saw him, but I don't recognize him.","I'm sure I saw him, but I didn't recognize him."
唔同國家有唔同習俗。,Each country has its own customs.,There are different customs in different countries.,There are different customs in different countries.
我哋去市區食飯，跟住再睇返場戲吖。,Let's have lunch downtown and take in a show.,We went to the city to eat and then we went back to watching the play.,"We went to the city to eat, and then we watched the play again."
我冇乜心情出街。,I don't feel like going out.,I'm not in the mood to go out.,I'm not in the mood to go out.
梳好你啲頭髮先好出門口呀。,Comb your hair before you go out.,Make sure your hair is straight out of the door.,Make sure your hair's out of the way.
出去之前記住熄晒啲燈佢喎。,Make sure to turn off all the lights before going out.,Remember to turn off the lights before you go out.,Remember to turn off the lights before you leave.
你出國睇吓，先會知道日本係幾咁細。,It is not until you go abroad that you realize how small Japan is.,You look at the outside world and you see how small Japan is.,"If you look abroad, you'll see how small Japan is."
喺外國生活係學外語嘅最佳方法。,Living abroad is the best way to learn a foreign language.,Living abroad is the best way to learn a foreign language.,Living abroad is the best way to learn a foreign language.
唔好以貌取人。,Don't judge a person by his appearance.,Don't look at people.,Don't take people for granted.
幅畫遠啲睇好啲。,The picture looks better at a distance.,It looks much better.,It looks much better.
大家唔該望吓黑板。,"Look at the blackboard, everyone.",Please look at the blackboard.,Please look at the blackboard.
我打爛咗你個煙灰缸。,I broke your ashtray.,I ruined your smoke ash.,I ruined your smoke ash.
我哋返緊屋企。,We're on our way home.,We're going home.,We're going home.
間公司蝕緊錢。,The company is in deficit.,Companies are spending money.,Companies are spending money.
去出口個收銀處俾錢啦。,Pay the cashier on the way out.,Go out and pay the cash.,Get out of the box and pay for it.
會議會喺東京舉行。,The conference is to be held in Tokyo.,The meeting was held in Tokyo.,The meeting will be held in Tokyo.
個會可唔可以喺兩個鐘頭之內開完呢？,Can the meeting be finished within two hours?,Can the meeting be over in two hours?,Can the meeting be over in two hours?
我哋俾成班蜜蜂攻擊。,We were attacked by swarms of bees.,We were attacked by a bunch of bees.,We were attacked by a bunch of bees.
我哋要詳細噉分析吓件事發生嘅前因後果。,We have to make a close analysis of the accident.,We need to analyze the cause and effect of this in detail.,We need to analyze the cause and effect of this in detail.
我哋輪流揸車。,We took turns driving the car.,We were driving around.,We're driving around.
我哋敲咗五分鐘門都冇人應。,"We knocked at the door for five minutes, but in vain.","We knocked on the door for five minutes, and nobody answered.",We knocked on the door for five minutes and no one answered.
我哋一粒飯都冇落過肚，一路做咗幾個鐘頭。,We kept on working for hours without eating anything.,We didn't miss a single meal for hours.,We didn't miss a single meal for several hours.
我哋打啤牌消磨時間。,We killed time by playing cards.,We spend time playing cards.,We spend time playing cards.
我哋傾咗嗰個問題。,We discussed the problem.,We talked about that.,We talked about it.
我哋嘅結論就係，個傳言係真嘅。,We've come to the conclusion that this is a true story.,And we conclude that the rumor is true.,We conclude that the rumor is true.
我哋買咗一磅茶。,We bought a pound of tea.,We bought a pound of tea.,We bought a pound of tea.
我哋啲會好少準時開始。,Our meeting rarely starts on time.,We don't get started on time.,We don't get off to a good start.
我哋已經準備好應付千年蟲。,We're thoroughly prepared for the millennium bug.,We're ready to deal with the millennial worm.,We're ready for the millennial worm.
我哋組輸咗第一回合。,Our team lost the first game.,We lost the first round.,We lost the first round.
佢攰得濟，又唔夠瞓，卒之咪搞到病咗囉。,"What with fatigue and lack of sleep, he has fallen ill at last.","He was getting sick, he was sleeping poorly, and he got sick.","He earned money, didn't get enough sleep, and eventually got sick."
你執好晒啲嘢未呀？,Have you finished packing yet?,Have you done your thing yet?,Have you done your thing yet?
我打爛咗你個花樽，真係好對唔住呀。,I must apologize to you for breaking the vase.,I'm really sorry I ruined your bottle.,I'm really sorry I ruined your bottle.
個花樽裏面啲花係玫瑰嚟嘅。,The flowers in the vase are roses.,The flowers in the bottle are ripe.,The flowers in the bottle are ripe.
我幫啲花淋水淋嚟都無謂，因為我一淋完就開始落雨喇。,"I needn't have watered the flowers. Just after I finished, it started raining.","I don't care if I shower flowers, because it starts raining when I do.","I don't care if I shower flowers, because it starts raining when I do."
你星期二得唔得閒呀？,Are you free on Tuesday?,Can you be quiet on Tuesday?,Are you free on Tuesday?
千祈唔好唔記得熄火。,Never forget to put out the fire.,Do not forget to make fire.,Don't forget to fire.
佢起唔到火，唯有生勾勾噉食咗條魚。,"As he had no way of making fire, he ate the fish raw.","He couldn't start the fire, he just ate the fish.","He couldn't start the fire, but he ate the fish deliberately."
