cantonese,english
喂，睇吓，有隻三個頭嘅馬騮呀！,"Hey, look, a three-headed monkey!"
鳩到講唔出口嘅說話就會變成歌詞。,Anything that is too stupid to be spoken is sung.
我哋已經玩完㗎喇，俾返隻戒指我啦！,It's over between us. Give me back my ring!
我聽日去圖書館溫書。,"Tomorrow, I'm going to study at the library."
對佢嚟講，「肚餓」係一個抽象嘅概念，因為佢根本就無試過肚餓。,"To him, hunger was an abstract concept; he always had enough to eat."
我唔會輸嘅！,I won't lose!
我想打乞嗤呀⋯⋯俾張紙巾我吖。,I think I'm gonna sneeze. Give me a tissue.
千祈唔好自殺。,Never try to die.
幾時食飯呀？好鬼肚餓呀！,When are we eating? I'm hungry!
"""多謝"" ""唔使唔該。""","""Thank you."" ""You're welcome."""
"""多謝""。 ""唔使唔該。""","""Thank you."" ""You're welcome."""
"""多謝你。"" ""唔使客氣。""","""Thank you."" ""You're welcome."""
兔仔對耳好長、條尾好短。,A rabbit has long ears and a short tail.
如果你借廿蚊俾人，之後就再見唔到佢，咁嗰廿蚊應該係值得俾嘅。,"If you lend someone $20 and never see that person again, it was probably worth it."
屌，邊條仆街半夜三更打俾我呀？！,"Holy crap, who's the asshole who dares call me in the middle of the night?!"
你仲喺度諗緊生命嘅意義呀？,You are still asking yourself what the meaning of life is?
睇吓個用戶名同密碼有無填錯。,Check that your username and password are written correctly.
唔好唔記得我哋呀！,Don't forget about us!
西班牙俾貼士要俾幾多到㗎？,How much do you leave for a tip in Spain?
我哋唔迫自己開心嘅話，應該都會幾開心吖。,If only we'd stop trying to be happy we could have a pretty good time.
人類可以穿越時空，速度仲好快添，每秒一秒。,We can travel through time. And we do at the remarkable rate of one second per second.
如果我哋知道自己做緊啲咩，咁就唔叫做研究啦，係咪先？,"If we knew what we were doing, it wouldn't be called research, would it?"
放低手！,Put your hands down!
唔重要㗎！,It's not important.
我一路期待緊㗎喇！,I was expecting it!
唔好唔記得張飛。,Don't forget the ticket.
你好靚呀。,How beautiful you are!
我唔知我有無時間搞呢件事。,I don't know if I'll have time to do it.
你咁樣衰，整容都冇用㗎喇。,Even plastic surgery won't do anything for your ugliness.
你面試面成點呀？,How did your interview go?
你見工見成點呀？,How did your interview go?
我以為自己睇錯。,I can't believe my eyes.
你唔攰呀？,Are you not tired?
你哋唔攰呀？,Are you not tired?
你唔知佢兩年前瓜咗老襯咩？,Didn't you know that he passed away two years ago?
你支持定係反對戰爭呀？,Are you for the war or against it?
如果你勤力啲學習，係有希望通過考試嘅。,"If you study earnestly, you can expect to pass the exam."
你係時候買返架新車喇喎。,It's time for you to buy a new car.
你應該學吓控制自己嘅情緒。,You should learn to restrain yourself.
你自己做過嘅嘢，就要自己負返責任。,You should be responsible for your actions.
你終於成功搵到工喇！,You finally succeeded in getting a job.
你自己嘅錢，鍾意點使咪點使囉。,You are free to do as you please with your money.
你抄書嗰陣抄漏咗一隻字喎。,You've left out a word in copying the textbook.
望咩呀望？,What are you looking at?
你望咩啫？,What are you looking at?
你應該努力啲讀書。,You should study harder.
你而家係大人嚟㗎喇，唔好再好似成個細路咁喇。,"Now that you are grown up, you must not behave like a child."
你仲未洗手喎，係唔係呀？,"You haven't washed your hands yet, have you?"
你點解想買呢本書呀？,Why do you want to buy this book?
你要筆錢嚟做咩呀？,What do you need the money for?
你一定要諗清楚你想做啲點嘅工。,You must consider what kind of work you want to do.
你好似好攰咁喎。,You look very tired.
你點識佢㗎？,How did you come to know her?
你做咩講埋啲噉嘅嘢呀？,Why did you say such a thing?
你俾咗邊個呀？,Who did you give it to?
你成日都做錯嘢。,You're forever making mistakes.
你後日一定要做完呢份功課。,You must get this homework finished by the day after tomorrow.
你識唔識讀呢個漢字呀？,Can you read this kanji?
你喺呢度簽個名就得㗎喇。,You have only to sign your name here.
你喺度簽個名就得㗎喇。,All you have to do is sign your name here.
你通常幾點起身㗎？,What time do you usually get up?
如果你諗住去美國嘅話，你最好練好你啲英文先。,You better brush up your English if you go to America.
你要食早餐啊。,You need to have breakfast.
你啲頭髮長得濟。,Your hair is too long.
你啲頭髮都好唔整齊噃。,Your hair really does look untidy.
你方便嘅時候嚟見我吖。,Come and see me when it is convenient for you.
我唔記得咗你個電話號碼。,I forget your phone number.
我唔記得咗你個電話號碼。,I forget your telephone number.
你生日就到啦噃。,Your birthday is drawing near.
你隻錶準唔準㗎？,Is your watch correct?
你隻錶慢咗十分鐘。,Your watch is ten minutes slow.
你啲文章寫得好好，但係有好多字串錯咗。,Your composition was good except for the spelling.
你間學校喺邊呀？,Where is your school?
如果唔係有你幫手，我生意一定唔會咁成功。,"If it had not been for your aid, I would not have succeeded in my business."
你啲英文進步咗好多。,Your English has improved a lot.
你唔好嬲我啦，我咁做都係為咗你㗎咋。,"Don't be angry with me, for I did it for your sake."
你一流嘅工作令我感到慚愧。,Your excellent work puts me to shame.
你件恤衫粒鈕就嚟甩喇。,Your shirt button is coming off.
你嗰班有幾多人㗎？,How many are there in your class?
我唔小心拎錯咗你把遮。,I took your umbrella by mistake.
感激不盡。,I can't thank you enough.
真係唔知點多謝你好。,I can't thank you enough.
我借呢本書畀你啊。,I'll lend you this book.
你實掂嘅！加油呀！我會支持你！,You can make it! Go for it. I'll stand by you.
佢同你一樣，打哥爾夫球都好勁。,"He, just like you, is a good golfer."
我唔鍾意你哋兩個去埋啲噉嘅地方。,I don't like both of you going to such a place.
你話咗俾我聽之後，我先知呢份文件有幾咁緊要。,I hadn't recognized the importance of this document until you told me about it.
你粒聲唔出，啫係唔滿意我嘅答案啦。,I take it from your silence that you are not satisfied with my answer.
一係你錯，一係佢錯。,Either you or he is wrong.
你諗住買嗰架車幾多錢㗎？,How much is the car you are planning to buy?
你成唔成功，就要睇吓你努唔努力喇。,Whether you will succeed or not depends on your efforts.
因為你唔夠努力，所以先會失敗。,The reason why you failed is you did not try hard enough.
你應該自己同老師講。,You should talk to the teacher yourself.
無咩嘢好味得過你整啲嘢食。,Nothing is so tasty as the dish you make.
你啱啱先食完晚餐，無理由咁快就肚餓嗰喎。,You can't be hungry. You've just had dinner.
我尋晚留喺屋企等聽你電話。,I stayed home last night to be able to receive your call.
計吓你用咗幾多錢買書。,Try to estimate how much you spent on books.
你信又好，唔信又好，對我嚟講無咩分別。,It makes little difference to me whether you believe it or not.
你一定會後悔㗎。,The time will come when you will be sorry for it.
我好掛住你。,I miss you very much.
呢封信係俾你㗎。,Here is a letter for you.
你唔明。,You don't understand.
麻煩你入屋之前除咗對鞋先吖。,Please remove your shoes before entering the house.
佢啱啱先食完晏，無理由會肚餓。,He cannot be hungry; he has just had lunch.
唔該你話我聽機場點去吖。,Please tell me how to get to the airport.
無咗空氣同水，人類就生存唔到。,Both air and water are indispensable for life.
月球表面冇空氣，所以冇風，亦都冇聲音。,Without air there can be no wind or sound on the moon.
空肚飲酒對身體唔好㗎。,Drinking on an empty stomach is bad for your health.
有錢人未必比窮人幸福。,The rich are not always happier than the poor.
嗰啲錢收埋咗喺地板下面。,The money was hidden beneath the floorboards.
我冇錢，但係我有夢想。,"I have no money, but I have dreams."
睇嚟好似冇晒錢囉喎。,It seems like there's no money left.
而家啲細路唔會通山跑㗎喇。,Nowadays children do not play outdoors.
雖然我同佢住得好近，但係都好少見到佢。,"Although her house is nearby, I seldom see her."
呢頭有無戲院㗎？,Are there any movie theaters near here?
緊急聯絡電話幾多號呀？,What is the emergency telephone number?
我想坐非吸煙區。,I would like to sit in the non-smoking section.
我一路切洋葱，啲眼淚就一路滮出嚟。,Tears came into my eyes when I was chopping onions.
個班房裏面剩返好少學生。,There were few students remaining in the classroom.
啲老師想俾啲動力班學生。,The teachers are trying to motivate their students.
唔好驚！,Don't be afraid.
啲警察根據現場留低嘅證物搵到個賊仔。,The burglar was traced by one of the things he had left on the scene.
我條喉俾魚骨骾親咗。,I got a fish bone stuck in my throat.
佢舊年開始喺嗰間公司度返工。,He began to work for that company last year.
我買咗兩枝牛奶。,I bought two bottles of milk.
牛食草。,Cattle feed on grass.
我一收到錢就即刻還錢俾你。,As soon as I get paid I will pay you back.
個侍應拎咗個新碟俾我哋。,The waiter brought a new plate.
我真係唔知笑好定喊好。,I don't know whether to cry or to laugh.
我趕時間嗰陣唔會喺呢到過馬路。,I avoid crossing the street here if I am in a hurry.
快手啲啦，我哋無乜時間淨㗎喇。,Hurry up. We've little time to waste.
快啲啦，如果唔係我哋就遲到㗎喇。,"Hurry up, or we'll be late."
放假玩得開唔開心呀？,Did you enjoy your holiday?
我可唔可以抖陣呀？,May I take a rest?
你放假諗住去邊度玩呀？,Where are you going to go on your vacation?
座山上面有一間屋。,There is a house on the hill.
虽然有逆境，建筑师仲系赢取咗享誉全球嘅荣誉。,"Despite adversity, the architect achieved worldwide fame."
虽然有逆境，建筑师仲系赢取咗享誉全球嘅名誉。,"Despite adversity, the architect achieved worldwide fame."
你應該要準備間房畀訪客。,You should prepare a room for the visitor.
食煙有害健康。,Smoking is harmful to health.
食煙對健康唔好。,Smoking is harmful to health.
你係醫生。,You are a doctor.
啲規則一定唔可以多，同埋更加重要嘅係一定要簡單。,"The rules must be few, and more importantly, simple."
我唔慣呢度啲天氣，太唔同喇。,I can't get over how different the weather is here.
睇住呀！嗰到有個大窿㗎。,Watch out! There's a big hole there.
算吧啦。,Forget it.
我返屋企嗰陣撞到佢。,I met him on my way home.
我咁夜先返真係對唔住呀。,I'm very sorry I came home so late.
你返屋企嗰陣順便嚟探吓我吖。,Please drop in at my house on your way home.
張枱下面有粒蘋果。,There is an apple under the desk.
我開心到彈咗起身。,I jumped for joy.
韓國菜一般都好辣。,Korean food is generally very spicy.
韓國菜出名辣。,Korean food is noted for its spicy flavor.
佢哋好快就拉埋天窗喇。,It won't be long before they get married.
個罐係吉嘅。,The can is empty.
如果啲乾草著咗火就大劑喇。,"If the hay caught fire, it would be a real disaster."
唔好踩落啲碎玻璃度。,Don't step on the broken glass.
玩得開心啲喇！,Enjoy yourself!
你玩得開唔開心呀？,Did you enjoy yourself?
佢讀書叻過晒佢啲朋友。,"In terms of learning, he is superior to all of his friends."
我讀書嗰陣成日參加英文演講比賽。,I would often take part in an English speech contest in my school days.
你讀邊間學校㗎？,Where do you go to school?
幾時放學呀？,When is school over?
學校會提供帳篷俾我哋。,The school will provide tents for us.
我好肯定係邊度見過佢，但係又唔認得佢。,"I am sure I met him somewhere, but I do not remember who he is."
唔同國家有唔同習俗。,Each country has its own customs.
我哋去市區食飯，跟住再睇返場戲吖。,Let's have lunch downtown and take in a show.
我冇乜心情出街。,I don't feel like going out.
梳好你啲頭髮先好出門口呀。,Comb your hair before you go out.
出去之前記住熄晒啲燈佢喎。,Make sure to turn off all the lights before going out.
你出國睇吓，先會知道日本係幾咁細。,It is not until you go abroad that you realize how small Japan is.
喺外國生活係學外語嘅最佳方法。,Living abroad is the best way to learn a foreign language.
唔好以貌取人。,Don't judge a person by his appearance.
幅畫遠啲睇好啲。,The picture looks better at a distance.
大家唔該望吓黑板。,"Look at the blackboard, everyone."
我打爛咗你個煙灰缸。,I broke your ashtray.
我哋返緊屋企。,We're on our way home.
間公司蝕緊錢。,The company is in deficit.
去出口個收銀處俾錢啦。,Pay the cashier on the way out.
會議會喺東京舉行。,The conference is to be held in Tokyo.
個會可唔可以喺兩個鐘頭之內開完呢？,Can the meeting be finished within two hours?
我哋俾成班蜜蜂攻擊。,We were attacked by swarms of bees.
我哋要詳細噉分析吓件事發生嘅前因後果。,We have to make a close analysis of the accident.
我哋輪流揸車。,We took turns driving the car.
我哋敲咗五分鐘門都冇人應。,"We knocked at the door for five minutes, but in vain."
我哋一粒飯都冇落過肚，一路做咗幾個鐘頭。,We kept on working for hours without eating anything.
我哋打啤牌消磨時間。,We killed time by playing cards.
我哋傾咗嗰個問題。,We discussed the problem.
我哋嘅結論就係，個傳言係真嘅。,We've come to the conclusion that this is a true story.
我哋買咗一磅茶。,We bought a pound of tea.
我哋啲會好少準時開始。,Our meeting rarely starts on time.
我哋已經準備好應付千年蟲。,We're thoroughly prepared for the millennium bug.
我哋組輸咗第一回合。,Our team lost the first game.
佢攰得濟，又唔夠瞓，卒之咪搞到病咗囉。,"What with fatigue and lack of sleep, he has fallen ill at last."
你執好晒啲嘢未呀？,Have you finished packing yet?
我打爛咗你個花樽，真係好對唔住呀。,I must apologize to you for breaking the vase.
個花樽裏面啲花係玫瑰嚟嘅。,The flowers in the vase are roses.
我幫啲花淋水淋嚟都無謂，因為我一淋完就開始落雨喇。,"I needn't have watered the flowers. Just after I finished, it started raining."
你星期二得唔得閒呀？,Are you free on Tuesday?
千祈唔好唔記得熄火。,Never forget to put out the fire.
佢起唔到火，唯有生勾勾噉食咗條魚。,"As he had no way of making fire, he ate the fish raw."
你鍾唔鍾意唱歌？,Do you like singing?
我可唔可以同屋企人一齊嚟㗎？,May I bring my family along?
如果唔係為咗養家，我會辭咗份工。,"If it were not for my family, I would give up this job."
我揸車送你返屋企啦。,I'll drive you home.
啲屋一間一間噉著咗火。,The houses caught fire one after another.
我返到屋企嗰陣好鬼肚餓。,"When I got home, I was very hungry."
我返緊屋企嗰陣撞到佢。,"On my way home, I met him."
我一返到屋企就開始落雨喇。,"As soon as I got home, it began to rain."
我漏咗張卡喺屋企。,I left my card at home.
吽喺屋企一啲都唔好玩。,Staying home isn't fun.
你唔覺得間屋喺度震緊咩？,Don't you feel the house shaking?
我放完暑假即刻就要考試喇。,I'll have exams right after the summer holidays.
唔知過咗咁多年佢仲認唔認得我呢？,I wonder if she will recognize me after all those years.
你幾點返屋企呀？,When will you come home?
你知唔知間舖頭幾點閂門呀？,Do you know what time the shop is closed?
你幾時返嚟呀？,When will you be back?
你點解咁諗嘅？,Why do you think so?
你做咩無嚟到嘅？,Why didn't you come?
你買咗啲乜嘢呀？,What did you buy?
買咗啲咩呀你？,What did you buy?
你maj咩㗎？,What's your major?
加油！,Come on!
你喺度諗緊啲咩呀？,What are you thinking about?
內容重要過表達方法。,What to say is more important than how to say it.
你想飲啲咩呀？,What will you have to drink?
飲乜嘢呀？,What would you like to drink?
我諗我搞得掂㗎喇。,I think I can handle it.
點解係我?,Why me?
我想飲啲凍嘢。,I want something cold to drink.
我想食啲嘢。,I want something to eat.
可唔可以俾啲嘢我食呀？我餓到暈咁濟喇。,Please give me something to eat. I am so hungry.
我可唔可以講兩句呀？,May I say something?
搞咩呀？,What's going on?
如果佢哋知道會發生埋啲噉嘅事，實會改用第二啲計劃啦。,"Had they known what was about to happen, they would have changed their plans."
你有冇養寵物㗎？,Do you have any pets?
如果我好夜都未返，你就自己瞓先啦，唔使等我。,"If I should be late getting home, please don't wait up for me."
唔該你較細聲啲吖。,"Turn down the volume, please."
你鍾意聽音樂多啲吖，定係唱歌多啲呀？,Do you like listening to music or singing songs?
唔好嘈呀，會嚇走啲雀仔㗎。,Don't make any noise or you'll scare the birds away.
我喊咗成晚。,I cried all night long.
我唔係同你講嘢，我係同隻馬騮講嘢。,I'm not talking to you; I'm talking to the monkey.
你同我講緊嘢呀？,Are you talking to me?
你唔好⋯⋯唔好噉同我講嘢。,You don't... you don't talk to me like that.
坐飛機去沖繩要坐幾多個鐘㗎？,How many hours does it take to go to Okinawa by plane?
個騎士發誓向國王忠誠。,The knight swore an oath of allegiance to the king.
橫濱係日本第二大嘅城市。,Yokohama is the second largest city in Japan.
隻手污糟嗰陣千祈唔好捽眼。,Never rub the eyes when the hands are dirty.
你可以拎呢本書走，但係唔好整污糟佢喎。,You may take this book as long as you keep it clean.
你有冇鉛筆呀？,Have you got a pencil?
舊石遠睇好似人樣。,"Seen from distance, the rock looked like a human face."
我想問吓火車站點行呀？,Could you please tell me how to get to the station?
車站就喺呢度附近。,The station is nearby.
佢係英國人，所以對英式用法同美式用法之間嘅分別特別敏感。,"As an Englishman, he is particularly sensitive to the differences between English and American usage."
英國好少地震。,They have few earthquakes in England.
你識唔識講英文㗎？,Can you speak English?
英文好難講得好。,To speak English well is difficult.
你啲英文學成點呀？,How are you getting along with your English study?
我會永遠同你喺埋一齊。,I'll be with you forever.
套戲好唔好睇呀？,Was the movie good?
套戲好唔好睇呀？,Did you enjoy the film?
啲電影全部都好悶。,All the films are boring.
個司機問我應該行邊邊。,The driver asked me which way to go.
佢啲駕駛技術好差，但係都勉強通過咗個駕駛考試。,He managed to pass his driving test even though he was a poor driver.
好似就落雨囉噃。我哋閂埋啲窗啦。,It looks like rain. We had better shut the windows.
如果唔落雨嘅話，你可以去踩單車。,You may go cycling if it doesn't rain.
報紙有冇話會落雨呀？,Did the newspaper say it was going to rain?
雨由琴晚開始一直落到而家。,It's been raining since last night.
我哋最好喺個天開始落雨之前出發。,We had better start before it begins to rain.
我諗就快落雨喇。,I think it's going to rain.
我唔鍾意落雨嗰陣出街。,I don't like to go outside when it's raining.
佢驚會落雨，所以就閂埋咗個窗。,He closed the window for fear of rain.
宇宙裏面係無空氣嘅。,There is no air in space.
我舉唔起隻右手。,I can't lift my right arm.
我隻右眼咩都睇唔到。,I can't see anything with my right eye.
唔好喺背後講人壞話。,Don't speak ill of others behind their back.
你唔應該喺背後講人壞話。,You shouldn't talk about people behind their backs.
我對佢一見鐘情。,She attracted me at first sight.
你係做錯咗，但係都唔可以怪你嘅。,"On the one hand, you are wrong, but on the other hand, I can't blame you for that."
不如唞吓先啦？,What do you say to taking a rest?
有啲大學教授好鍾意遲嚟早走。,Some college teachers come to class late and leave early.
我為咗搭頭班火車，晨咁早就起咗身。,I got up early in order to catch the first train.
我永遠都係睇咗體育版先。,I always read the sports page first.
最近嘅銀行喺邊呀？,Where is the nearest bank?
成晚又落吓雨，又停吓雨。,It was raining on and off all night long.
我請你飲嘢吖。,I'll buy you a drink.
用一年半載就精通到英文係冇可能嘅事。,It is impossible to master English in a year or so.
我記得我有一次喺街度見過佢。,I remember seeing her once on the street.
我諗極都諗唔起佢叫咩名。,"I'm trying hard, but can't think of her name."
一個人幫唔到一班人，但係一班人幫到一個人。,"One can't help many, but many can help one."
不如一齊去睇戲吖。,Would you like to go see a movie with me?
你一個禮拜沖幾多次涼㗎？,How often a week do you take a bath?
我等咗一個鐘，但係佢冇出現。,"I waited for an hour, but he didn't appear."
我已經等咗你成個幾鐘喇。,I've been waiting for you for over an hour.
我前日喺火車度撞到佢。,I met her by chance on the train the day before yesterday.
第一眼望落去，嗰條題目好似好易噉。,"At first sight, the question seemed easy."
唔該唱首歌啦。,Please sing a song.
第一，我冇錢，第二，我冇空閒時間。,"For one thing, I've no money, and for another, I've no leisure."
個醫生雖然已經盡晒力，但係個病人都係冇幾耐就死咗。,All the doctor's efforts were in vain and the man soon died.
你最好聽個醫生講。,You had better do as the doctor advised you.
你去睇咗醫生未呀？,Did you go to the doctor?
個分別係佢做嘢做得勤力過你。,The difference is this: he works harder than you.
我去過北海道。,I've been to Hokkaido before.
個天開始黑囉喎。唔該幫我開咗盞燈佢吖。,It's getting dark. Please turn the light on for me.
天都開始黑喇。返屋企囉！,It is getting dark. Let's go home.
個天黑咗之後就唔好俾佢出街喇。,Don't let her go out after dark.
個天好黑，但係我哋都搵到路返屋企。,"Dark as it was, we managed to find our way home."
有機菜咁多人鍾意係因為佢哋又安全又好食。,Organic vegetables are popular because they're safe and tasty.
有機菜安全好食，所以咁多人食。,Organic vegetables are popular because they're safe and tasty.
最後一個關於握手嘅小貼士：記住笑。,I have one final piece of advice related to handshakes: Remember to smile.
日頭唔好講人。,Speak of the devil and he is sure to appear.
壞習慣唔係咁易戒㗎。,It is not easy to get rid of bad habits.
壞習慣好難戒。,It is not easy to get rid of bad habits.
壞習慣好難改。,It is not easy to get rid of a bad habit.
一養成咗壞習慣，就好難改返正㗎喇。,"A bad habit, once formed, is difficult to get rid of."
我哋生活喺文明社會。,We live in a civilized society.
我哋逼咗入間細房度。,We were crowded into the small room.
我哋有某啲地方同佢哋唔同。,We differ from them in some respects.
我鍾意坐火車多過搭飛機。,I prefer traveling by train to flying.
我講極佢都唔信佢做錯咗。,I could not convince him of his mistake.
我有好多嘢要做。,I have a lot of work to do.
美國嘅首都係華盛頓定係紐約呀？,"Which is the capital of the United States, Washington or New York?"
唔該俾杯酒我吖。,I'd like to have a glass of wine.
洛杉磯係我想去嘅其中一個地方。,Los Angeles is one of the places that I'd like to visit.
支火箭而家應該已經到咗月球喇。,The rocket ought to have reached the moon by now.
而家嘅貸款利率好高。,Interest on loans is high at present.
我喺度搵緊啲講古羅馬歷史嘅書。,I'm looking for books on Roman history.
羅馬有好多古建築。,Rome has a lot of ancient buildings.
阿 Lucy 實會嚟嘅。,Lucy is certain to come.
琳達伸咗條脷出嚟。,Linda stuck her tongue out.
Linda好鍾意朱古力。,Linda loves chocolate.
有啲蘋果喺棵樹度跌咗落嚟。,Some apples fell down from the tree.
可唔可以借你部收音機俾我呀？,Can I borrow your radio?
聽聽吓收音機，我瞓著咗。,I fell asleep while listening to the radio.
可唔可以將部收音機較細聲少少呀？,Could you turn down the radio?
你有冇打火機呀？,Have you got a lighter?
你有冇打火機呀？,Do you have a lighter?
你冇嘢吖嘛？,You all right?
我成日都醒唔起佢個名。,Her name often escapes me.
你日日都係做埋啲一模一樣嘅嘢，乜唔會覺得悶嘅咩？,I wonder if you don't get tired of doing the same thing every day.
揸慢啲。,Drive slowly.
尋晚行雷閃電。,There was thunder and lightning last night.
我有好多嘢想做，但係就係無時間做。,I simply haven't the time to do everything I want to do.
我哋卒之都見面喇！呢一刻等到我頸都長喇。,"So, we finally meet! I've waited so long for this moment."
你應該食多啲菜。,You should eat more vegetables.
小心啲揸車呀，如果唔係就會出事㗎喇。,"Drive more carefully, or you will have an accident."
如果我哋有多啲時間咪好囉。,I wish we had more time.
你可唔可以揸慢少少呀？,Could you drive more slowly?
有冇人仲想食批呀？,Does anyone want some more pie?
你應該食多啲生果。,You should eat more fruit.
我一定會去探佢嘅。,I'll certainly go and see him.
梗係啦。,"Yes, of course."
佢哋當然有啲共通點。,Of course they resemble each other in some ways.
萬一佢遲到噉點算呀？,What if he should happen to be late?
俾着我就唔濟喇。,"If I were you, I wouldn't do it."
如果天氣好嘅話，我諗住聽日出發。,I mean to go tomorrow if the weather is fine.
如果有人嚟搵我，就同佢講話我出咗去。,"If anybody comes, tell him that I am out."
如果可以投胎嘅話，我想喺個有錢家庭度出世，咁就成世唔使憂喇。,"If I could be reborn, I would want to be the child of a rich family, then I'd be set for life."
我哋噉對佢，好似唔係幾好。,It would be unfair if we treated him so badly.
假設 A 同 B 之間有座好高嘅山，噉就要諗吓，條路應該跨過座山吖，穿過座山吖，定係直接兜過座山呢？,"If a high hill stood between A and B, it was important to decide whether the line should climb over it, pierce it with a tunnel, or make a detour to avoid it."
如果我唔喺限期之前搞掂，我就大檸樂喇。,There will be hell to pay if I don't make this deadline.
如果出咗咩事，即刻打電話俾我。,"In case anything happens, call me immediately."
如果你得閒嘅話不如一齊食飯吖？,"I'd like to invite you to lunch, if you're not busy."
佢聽到呢個消息，實會開心到彈起。,He would be very glad to hear the news.
如果你聽日唔去釣魚，我都唔去喇。,"If you do not go fishing tomorrow, I will not either."
你就算真係知道個真相，而家都係扮唔知好啲。,"Even if you know the truth, you had better pretend otherwise at present."
你打咗電話俾佢未呀？,Have you called her yet?
你寫好晒啲賀年咭未呀？,Have you written all the New Year's cards already?
你而家係大學生喇，應該努力啲讀書。,"Now that you're a college student, you should study harder."
夠鐘上床瞓覺喇。,It's time to go to bed.
我想瞓多陣。,I want to sleep a little more.
你可唔可以講慢少少呀？,"Would you speak more slowly, please?"
我爭啲唔記得咗。,I almost forgot it.
如果我哋再多少少錢，就買到嗰架車㗎喇。,We could have bought the car with a little more money.
夠鐘喇。,Time is up.
唔使喇，唔該。,"No, thank you."
你決定好未呀？,Have you arrived at a decision yet?
你可唔可以俾我試多一次呀？,Will you let me try once more?
我可唔可以食多嚿蛋糕呀？,May I have another piece of cake?
你要唔要多舊蛋糕呀？,Would you like another piece of cake?
就快三點喇。,It is almost three.
佢唔想係噉肥落去，所以咪戒食蛋糕囉。,"She does not eat cake, so as not to put on any more weight."
我哋都係唔好再見面喇。,It would be better for both of us not to see each other anymore.
食咗晏未呀？,Have you finished eating your lunch?
而家已經十一點喇。我一定要走喇。,It's already eleven o'clock. I must be leaving now.
過咗差唔多十年，你都仲係同以前一樣咁靚。,"It's been almost ten years, but you're as beautiful as ever."
瑪莉唔俾佢阿媽知，自己整咗一件蛋糕。,Mary made a cake without her mother's knowledge.
個餐牌有好多唔同種類嘅菜色。,There was a great variety of dishes on the menu.
阿 Mary 唔知同佢講啲咩先好。,Mary is at a loss what to say to him.
阿Mary咁硬頸，唔會識道歉架嘞。,Mary is too stubborn to apologize.
阿 Mary 就嚟生日喇，我諗住整件蛋糕俾佢。,I'm going to make a cake for Mary's birthday.
瑪莉到咗個巴士站嗰陣，架尾班巴士已經走咗喇。,"When Mary reached the bus stop, the last bus had already left."
我梗係信得過啦。我之前有冇俾過流料你吖？,Of course you can trust me. Have I ever given you a bum steer before?
企喺嗰度嗰個女仔就係 Mary 喇。,The girl standing over there is Mary.
喺嗰度游緊水嗰個男仔係邊個嚟㗎？,Who is the boy that is swimming over there?
賣晒喇！,All sold out!
成村人喺度等緊你呀。,Everybody is waiting for you.
大家都想坐喺佢隔籬。,Everybody wants to sit beside her.
你要喺佢哋返嚟之前做好啲功課。,Finish your homework by the time they return.
個個都好專心噉聽緊。,Everyone was listening very carefully.
